	Free	Conj	Number
0	9	0	100
1	9	2	1000
2	9	3	1000
3	9	4	1000
4	9	5	1000
5	9	6	1000
6	9	7	1000
7	9	8	1000
8	9	9	1000
9	9	10	1000
10	9	11	1000
11	9	12	1000
12	9	13	1000
13	9	14	1000
14	9	15	1000
15	9	16	1000
16	9	17	1000
17	9	18	1000
18	9	19	1000
19	9	20	1000
20	9	21	1000
21	9	22	1000
22	9	23	1000
23	9	24	1000
24	9	25	1000
25	8	0	100
26	8	2	1000
27	8	3	1000
28	8	4	1000
29	8	5	1000
30	8	6	1000
31	8	7	1000
32	8	8	1000
33	8	9	1000
34	8	10	1000
35	8	11	1000
36	8	12	1000
37	8	13	1000
38	8	14	1000
39	8	15	1000
40	8	16	1000
41	8	17	1000
42	8	18	1000
43	8	19	1000
44	8	20	1000
45	8	21	1000
46	8	22	1000
47	8	23	1000
48	8	24	1000
49	8	25	1000
50	7	0	100
51	7	2	100
52	7	3	1000
53	7	4	1000
54	7	5	1000
55	7	6	1000
56	7	7	1000
57	7	8	1000
58	7	9	1000
59	7	10	1000
60	7	11	1000
61	7	12	1000
62	7	13	1000
63	7	14	1000
64	7	15	1000
65	7	16	1000
66	7	17	1000
67	7	18	1000
68	7	19	1000
69	7	20	1000
70	7	21	1000
71	7	22	1000
72	7	23	1000
73	7	24	1000
74	7	25	1000
75	6	0	100
76	6	2	100
77	6	3	1000
78	6	4	100
79	6	5	100
80	6	6	1000
81	6	7	1000
82	6	8	1000
83	6	9	1000
84	6	10	1000
85	6	11	1000
86	6	12	1000
87	6	13	1000
88	6	14	1000
89	6	15	1000
90	6	16	1000
91	6	17	1000
92	6	18	1000
93	6	19	1000
94	6	20	1000
95	6	21	1000
96	6	22	1000
97	6	23	1000
98	6	24	1000
99	6	25	1000
100	5	0	100
101	5	2	100
102	5	3	100
103	5	4	100
104	5	5	100
105	5	6	100
106	5	7	100
107	5	8	1000
108	5	9	100
109	5	10	1000
110	5	11	1000
111	5	12	1000
112	5	13	1000
113	5	14	1000
114	5	15	1000
115	5	16	1000
116	5	17	1000
117	5	18	1000
118	5	19	1000
119	5	20	1000
120	5	21	1000
121	5	22	1000
122	5	23	1000
123	5	24	1000
124	5	25	1000
125	4	0	100
126	4	2	100
127	4	3	100
128	4	4	100
129	4	5	100
130	4	6	100
131	4	7	100
132	4	8	100
133	4	9	100
134	4	10	100
135	4	11	1000
136	4	12	1000
137	4	13	1000
138	4	14	100
139	4	15	1000
140	4	16	1000
141	4	17	1000
142	4	18	1000
143	4	19	1000
144	4	20	1000
145	4	21	1000
146	4	22	1000
147	4	23	1000
148	4	24	1000
149	4	25	1000
150	3	0	100
151	3	2	100
152	3	3	100
153	3	4	100
154	3	5	100
155	3	6	100
156	3	7	100
157	3	8	100
158	3	9	100
159	3	10	100
160	3	11	100
161	3	12	1000
162	3	13	1000
163	3	14	100
164	3	15	1000
165	3	16	1000
166	3	17	1000
167	3	18	1000
168	3	19	1000
169	3	20	1000
170	3	21	1000
171	3	22	1000
172	3	23	1000
173	3	24	1000
174	3	25	1000
175	2	0	100
176	2	2	100
177	2	3	100
178	2	4	100
179	2	5	100
180	2	6	100
181	2	7	100
182	2	8	100
183	2	9	100
184	2	10	100
185	2	11	100
186	2	12	100
187	2	13	1000
188	2	14	307
189	2	15	250
190	2	16	1000
191	2	17	1000
192	2	18	1000
193	2	19	250
194	2	20	1000
195	2	21	1000
196	2	22	1000
197	2	23	1000
198	2	24	1000
199	2	25	1000
200	1	0	100
201	1	2	100
202	1	3	100
203	1	4	100
204	1	5	100
205	1	6	100
206	1	7	100
207	1	8	100
208	1	9	100
209	1	10	100
210	1	11	100
211	1	12	100
212	1	13	100
213	1	14	100
214	1	15	100
215	1	16	400
216	1	17	1000
217	1	18	100
218	1	19	1000
219	1	20	1000
220	1	21	857
221	1	22	1000
222	1	23	1000
223	1	24	1000
224	1	25	1000
225	0	0	100
226	0	2	100
227	0	3	100
228	0	4	100
229	0	5	100
230	0	6	100
231	0	7	100
232	0	8	100
233	0	9	100
234	0	10	100
235	0	11	100
236	0	12	100
237	0	13	100
238	0	14	100
239	0	15	100
240	0	16	100
241	0	17	100
242	0	18	100
243	0	19	1000
244	0	20	100
245	0	21	100
246	0	22	1000
247	0	23	1000
248	0	24	1000
249	0	25	461
