SMILES Name
0 C#CC1CN(C(C=O)(NC(=O)c2ccc(-c3nc(N4CCN(C)CC4)sc3F)cc2)C2CCCC2)C2C(=O)COC12
1 CC(C)Cc1ccc(-c2ccccc2OCC=O)c(F)c1F
2 CCCc1ccc(-c2ccccc2OCC=O)c(F)c1F
3 O=CCOc1ccccc1-c1ccc(F)c(F)c1F
4 CCCC[C@@H](C=O)NC(=O)O[C@@H](CC)Cc1ccccc1
5 CCCC[C@@H](C=O)NC(=O)OC1(Cc2ccccc2)CCCC1
6 CCCC[C@@H](C=O)NC(=O)O[C@H](Cc1ccccc1)C(C)C
7 CCCC[C@@H](C=O)NC(=O)OC(C(C)C)C(C)C
8 CCCC[C@@H](C=O)NC(=O)OC(CCC)CCC
9 CCCC[C@@H](C=O)NC(=O)OC(CC(C)C)CC(C)C
10 CCCC[C@@H](C=O)NC(=O)O[C@@H](CCC)Cc1ccccc1
11 CCCC[C@@H](C=O)NC(=O)O[C@@H](C)Cc1ccccc1
12 CCCC[C@@H](C=O)NC(=O)OC1(Cc2ccccc2)CCCCC1
13 CCCC[C@@H](C=O)NC(=O)OC(CC)(CC)Cc1ccccc1
14 CCCC[C@@H](C=O)NC(=O)OC1(Cc2ccccc2)CCC1
15 CCCC[C@@H](C=O)NC(=O)O[C@@H](C)CC1CCCCC1
16 CCCC[C@@H](C=O)NC(=O)OC(C)(C)Cc1ccc(OC)cc1
17 CCCC[C@@H](C=O)NC(=O)OC(C)(C)Cc1ccccc1Cl
18 CCCC[C@@H](C=O)NC(=O)OC(CC)CC
19 CCCC[C@@H](C=O)NC(=O)OC(C)(C)Cc1ccc(Cl)cc1
20 CCCC[C@@H](C=O)NC(=O)OC(C)(C(C)C)C(C)C
21 CCCC[C@@H](C=O)NC(=O)OC(C)(C)Cc1cccc(OC)c1
22 CCCC[C@@H](C=O)NC(=O)O[C@H](Cc1ccccc1)CC(C)C
23 CCCC[C@@H](C=O)NC(=O)OC(C)(C)Cc1cccc(-c2ccsc2)c1
24 CCCC[C@@H](C=O)NC(=O)OC(C)(C)Cc1ccccc1
25 CC(C)(C)OC(=O)N[C@H](C=O)CCCc1ccccc1
26 CC(C)(C)OC(=O)N[C@H](C=O)CCCC1CCCCC1
27 CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)Cc1cc2ccccc2[nH]1
28 CCCCCC[C@@H](C=O)NC(=O)OC(C)(C)C
29 CC(C)(C)OC(=O)N[C@H](C=O)CCC1CCCCC1
30 CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1
31 CN(CCC[C@@H](C=O)NC(=O)OC(C)(C)C)C(=O)C(F)(F)F
32 CC(C)(C)OC(=O)N[C@H](C=O)CCc1ccccc1
33 CCC(C=O)NC(=O)c1cccc(C(F)(F)F)c1Cl
34 CCC[C@@H](C=O)NC(=O)OC(C)(C)C
35 C/C=C\C[C@@H](C=O)NC(=O)OC(C)(C)C
36 CCCC[C@@H](C=O)NC(=O)OC(C)(C)C
37 CC(C)(C)OC(=O)N[C@H](C=O)c1ccccc1
38 CCCC[C@H](C=O)NC(=O)OC(C)(C)C
39 CCCC[C@@H](C=O)NC(=O)OC(C)(C)C
40 CC[C@@H](C=O)NC(=O)OC(C)(C)C
41 CCCC[C@@H](C=O)NC(=O)OC(Cc1ccccc1)Cc1ccccc1
42 CC(C)(C)OC(=O)N[C@H](C=O)CCCC(F)(F)F
43 CN(CC[C@@H](C=O)NC(=O)OC(C)(C)C)C(=O)C(F)(F)F
44 CCCC[C@@H](C=O)NC(=O)O[C@H](C)Cc1ccccc1
45 CCCCC[C@@H](C=O)NC(=O)OC(C)(C)C
46 C/C=C/C[C@@H](C=O)NC(=O)OC(C)(C)C
47 CC(C)(C)C[C@@H](C=O)NC(=O)OC(C)(C)C
48 CCCC[C@@H](C=O)NC(=O)OCCc1ccccc1
49 COC(=O)NC[C@@H](C=O)NC(=O)OC(C)(C)C
50 CC#CC[C@@H](C=O)NC(=O)OC(C)(C)C
51 CCCC[C@@H](C=O)NC(=O)OCc1ccccc1
52 CCCC[C@@H](C=O)NC(=O)OCCCc1ccccc1
53 CC(C)(C)OC(=O)NCC=O
54 O=CCNC(=O)c1cccc(C(F)(F)F)c1
55 CC(C)(C)OC(=O)N[C@H](C=O)C(C)(C)C
