	SMILES	Name
0	CCOc1cc(C=O)ccc1OC(=O)c1ccco1	ZINC00033990
1	COc1cc(C=O)ccc1OC(=O)c1cccc(C)c1	ZINC00062191
2	CC(C)OC(=O)c1cccc(-c2ccc(C=O)o2)c1	ZINC00316324
3	O=Cc1cnn(Cc2ccccc2Cl)c1	ZINC08037201
4	O=Cc1cc(Cl)ccc1OCC(=O)c1ccccc1	ZINC08048253
5	C=CCOc1c(CC=C)cc(C=O)cc1OCC	ZINC08253921
6	Nc1nnc(SCc2csc(C=O)c2)s1	ZINC08306828
7	O=Cc1ccc2c(c1)CCCN2C[C@@H]1CCCO1	ZINC08419686
8	O=Cc1ccc2c(c1)CCCN2C[C@H]1CCCO1	ZINC08419688
9	O=Cc1nc2ccccc2n1CCc1ccccc1	ZINC08436004
10	COc1cc(OC)c2c(C=O)c(C(=O)[O-])[nH]c2c1	ZINC08472490
11	COc1ccc(C=O)cc1OC(=O)Cc1ccccc1	ZINC00316853
12	COc1ccc(C=O)cc1OCc1ccccc1C#N	ZINC08493961
13	COc1cccc([C@H](C#N)C=O)c1	ZINC08642236
14	CCCc1nn2c(C=O)c(-c3ccccc3)nc2s1	ZINC08701118
15	COc1ccc(-n2c(C)cc(C=O)c2C)c(OC)c1	ZINC08701721
16	NC(=O)c1ccc(-n2cccc2C=O)cc1	ZINC08701925
17	CCOC(=O)c1cccc(-n2cccc2C=O)c1	ZINC08701946
18	COC(=O)c1cccc(-n2cccc2C=O)c1C	ZINC08701951
19	COC(=O)c1ccc(C)c(-n2cccc2C=O)c1	ZINC08701955
20	O=Cc1cccn1-c1ccc(Oc2ccccc2)nc1	ZINC08701958
21	CCOc1cc(C=O)ccc1OC(C)=O	ZINC00317595
22	CN(C)C(=O)Cn1cc(C=O)c2ccccc21	ZINC08702181
23	O=Cc1cc(Cl)ccc1OCc1ccccn1	ZINC08702281
24	O=Cc1ccc(OCc2ccccn2)c(Cl)c1	ZINC08702305
25	O=Cc1cc(Cl)ccc1OCc1cccnc1	ZINC08702317
26	O=Cc1ccc(OCc2cccnc2)c(Cl)c1	ZINC08702343
27	COc1cc(C=O)ccc1N1CCOCC1	ZINC08702379
28	COc1cc(C=O)c(Cl)cc1N1CCCC1	ZINC08702888
29	COc1ccccc1Nc1ncc(C=O)cn1	ZINC08702906
30	COc1cccc(Nc2ncc(C=O)cn2)c1	ZINC08702922
31	COc1ccc(Nc2ncc(C=O)cn2)cc1	ZINC08702937
32	O=Cc1cc(Br)ccc1NCc1ccco1	ZINC08703720
33	COc1cccc(-n2cc(C=O)cn2)c1	ZINC08727601
34	COc1ccccc1-n1cc(C=O)cn1	ZINC08727624
35	CC(C)COc1ccc(C=O)cc1Br	ZINC08728154
36	COc1cc(C=O)cc(OC)c1OCC(C)C	ZINC08728171
37	COc1ccccc1Cn1c(C)cc(C=O)c1C	ZINC08729189
38	CCOc1ccccc1Cn1c(C)cc(C=O)c1C	ZINC08729191
39	O=Cc1ccc(OCC(=O)N2CCCCCC2)cc1	ZINC08729196
40	CCN(CC)c1ccc2c(C=O)cc(=O)oc2c1	ZINC00321077
41	O=Cc1ccccc1OCC(=O)N1CCCCCC1	ZINC08729209
42	CCCCOC(=O)c1cccc(-c2ccc(C=O)o2)c1	ZINC08729575
43	CCCCOc1cc2c(cc1C=O)OCO2	ZINC08729748
44	Cc1ccc(COc2cc3c(cc2C=O)OCO3)cc1	ZINC08729757
45	CCOc1cc(C=O)c(Sc2ccccc2)cc1OC	ZINC08729763
46	CCOc1cc(Sc2ccccc2)c(C=O)cc1OC	ZINC08729765
47	CCOc1cc(C=O)c(Sc2ccc(C)cc2)cc1OC	ZINC08729787
48	CCOc1cc(Sc2ccc(C)cc2)c(C=O)cc1OC	ZINC08729789
49	O=Cc1ccc(N2CCSCC2)cc1	ZINC08730201
50	O=Cc1ccc(N2CCC(CO)CC2)cc1	ZINC08730227
51	COc1ccc(-c2nn(C)c(Cl)c2C=O)cc1	ZINC00332234
52	O=Cc1cccn1C[C@@H]1CCCO1	ZINC08730279
53	O=Cc1cccn1C[C@H]1CCCO1	ZINC08730280
54	O=Cc1cnc(Nc2ccccc2Cl)nc1	ZINC08730952
55	O=Cc1cnc(Nc2cccc(Cl)c2)nc1	ZINC08730957
56	O=Cc1cnc(Nc2ccc(Cl)cc2)nc1	ZINC08730958
57	O=Cc1cnc(-c2ccc(F)cc2)nc1	ZINC08731031
58	O=Cc1cnc(-c2ccccc2F)nc1	ZINC08731032
59	CCOC(=O)c1ccccc1-c1ccc(C=O)o1	ZINC08732338
60	CCOC(=O)Cc1ccc(-c2ccc(C=O)o2)cc1	ZINC08732341
61	Cc1cccc2nc(COc3ccc(C=O)cc3)cn12	ZINC00332819
62	CC(C)OC(=O)c1ccccc1-c1ccc(C=O)o1	ZINC08732342
63	N#Cc1cccnc1Oc1ccc(C=O)cc1	ZINC08733398
64	O=Cc1ccc(OCC(=O)NCc2ccccc2)cc1	ZINC09232090
65	COCCOc1ccc(C=O)cc1Cl	ZINC09237422
66	CCOCCOc1ccc(C=O)cc1Cl	ZINC09237428
67	O=Cc1cccc(OCC(=O)N2CCCCCC2)c1	ZINC09237524
68	COCCOc1ccc(Cl)cc1C=O	ZINC09237589
69	CCOc1cc(C=O)ccc1OCCOc1ccccc1Cl	ZINC09237687
70	CCOc1cc(C=O)ccc1OCCOc1ccc(OC)cc1	ZINC09237699
71	O=Cc1cn(CCO)c2ccccc12	ZINC09239683
72	O=Cc1ccc(OC[C@@H]2CCCO2)cc1	ZINC09256921
73	O=Cc1ccc(OC[C@H]2CCCO2)cc1	ZINC09256922
74	COc1cc(C=O)ccc1OCCCl	ZINC09261298
75	COc1cccc(-n2c(C)ccc2C=O)c1	ZINC09261673
76	COc1ccc(-n2c(C)ccc2C=O)cc1	ZINC09261675
77	Cc1ccc(C(=O)c2cc(C=O)n(C)c2)cc1	ZINC09280517
78	C=CCn1c(Cl)c(C=O)sc1=O	ZINC09419468
79	CCOc1ccc2cc(C=O)c(=O)[nH]c2c1	ZINC09438745
80	O=Cc1ccccc1OCC(=O)Nc1cccc(C(=O)NC2CC2)c1	ZINC09764502
81	O=Cc1sc(=O)n(CCCl)c1Cl	ZINC10152201
82	CC(C)(C)OC(=O)COc1ccc(C=O)cc1	ZINC10158000
83	CC(C)(C)OC(=O)COc1cccc(C=O)c1	ZINC10158002
84	Cc1ccc(NC(=O)CN(C)C(=O)COc2ccc(C=O)cc2)cc1	ZINC10966420
85	O=Cc1ccc(OCC(=O)NC(=O)NCc2ccccc2)cc1	ZINC10966568
86	O=Cc1ccc(OCC(=O)N2CCNC2=O)cc1	ZINC10966576
87	CNC(=O)NC(=O)COc1ccc(C=O)cc1	ZINC10966694
