	SMILES	Name
0	NC(=O)C1(C(N)=O)O[C@H]1c1ccc(Br)cc1	ZINC00027677
1	ClC1(Cl)C[C@H]1COC[C@@H]1CO1	ZINC00086144
2	CCC(=O)c1ccc(OC[C@H]2CO2)c(OC)c1	ZINC00216935
3	NC(=O)[C@]1(c2ccccc2)O[C@@H]1c1ccccc1	ZINC05488699
4	NC(=O)[C@@]1(c2ccccc2)O[C@H]1c1ccccc1	ZINC05489995
5	NC(=O)[C@]1(c2ccccc2)O[C@H]1c1ccccc1	ZINC05490039
6	CC(=O)OC(CC[C@H]1CO1)OC(C)=O	ZINC05493297
7	COc1ccc(C(=O)O[C@H]2[C@@H]3O[C@@]34CO[C@H]3OCC[C@@H]2[C@H]34)cc1	ZINC05513611
8	COc1ccc(C(=O)O[C@@H]2[C@@H]3O[C@@]34CO[C@@H]3OCC[C@@H]2[C@H]34)cc1	ZINC05513613
9	COc1ccccc1/C=C/C(=O)[C@@]1(C)O[C@@H]1C	ZINC05530724
10	COc1ccccc1/C=C/C(=O)[C@]1(C)O[C@@H]1C	ZINC05530798
11	C[C@]1(C(=O)OCCCCCl)CC[C@@H]2O[C@@H]2C1	ZINC05530972
12	CCC(=O)c1ccc(OC[C@@H]2CO2)c(OC)c1	ZINC00216940
13	COc1ccccc1/C=C/C(=O)[C@@]1(C)O[C@H]1C	ZINC05534532
14	C[C@@]1(C(=O)OCCCCCl)CC[C@@H]2O[C@@H]2C1	ZINC05534809
15	C[C@]12CC[C@@](C)(C(=O)OCCOC(=O)c3ccccc3)C[C@H]1O2	ZINC05534815
16	Cc1cc(OC[C@@H]2CO2)ccc1Cl	ZINC05540544
17	Cc1cc(OC[C@H]2CO2)ccc1Cl	ZINC05540548
18	CCC[C@@]1(C(=O)OCC)OC12CCCCC2	ZINC05560951
19	NC(=O)Cc1ccc(OC[C@H]2CO2)cc1	ZINC00281702
20	FC(F)(F)c1cccc(OC[C@H]2CO2)c1	ZINC05640778
21	CCCNC(=O)[C@H]1O[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)OC)[C@@H](C)CC	ZINC05647802
22	CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)OC)[C@@H](C)CC	ZINC05647803
23	CCCNC(=O)[C@@H]1O[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)OC)[C@@H](C)CC	ZINC05647807
24	CCCNC(=O)[C@@H]1O[C@@H]1C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)OC)[C@@H](C)CC	ZINC05647808
25	C=C(C)C(=O)OC[C@]12CCC(C)=C[C@@H]1O[C@H]1C(=O)[C@@H](OC(=O)C(=C)C)[C@]2(C)[C@]12CO2	ZINC05648828
26	CCOC(=O)/C=C/C(=O)OC[C@@H]1CO1	ZINC05650491
27	NC(=O)Cc1ccc(OC[C@@H]2CO2)cc1	ZINC00281704
28	CCOC(=O)/C=C/C(=O)OC[C@H]1CO1	ZINC05650492
29	O=c1c2c(oc3cc(OC[C@H]4CO4)ccc13)CCC2	ZINC05662923
30	CCc1c(OC[C@@H]2CO2)cc(C)c(OC(C)=O)c1C	ZINC05667038
31	CCc1c(OC[C@H]2CO2)cc(C)c(OC(C)=O)c1C	ZINC05667042
32	CCc1c(C)c(OC[C@@H]2CO2)cc(C)c1OC(C)=O	ZINC05667052
33	CO[C@H]1O[C@@H](CO)[C@H]2O[C@H]2[C@H]1NC(=O)c1ccccc1	ZINC05669894
34	CO[C@@H]1O[C@@H](CO)[C@H]2O[C@H]2[C@H]1NC(=O)c1ccccc1	ZINC05669945
35	CN(C[C@@H]1CO1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F	ZINC05699112
36	CN(C[C@H]1CO1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F	ZINC05699115
37	O=C(OC[C@@]12O[C@@H]1C=C[C@H](OC(=O)c1ccccc1)[C@@H]2O)c1ccccc1	ZINC05722821
38	COc1ccc2c(c1)c(CCNC(C)=O)cn2C[C@H]1CO1	ZINC00294650
39	Cn1nnnc1SC[C@@H]1CO1	ZINC05748923
40	Cn1nnnc1SC[C@H]1CO1	ZINC05748927
41	CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2	ZINC05757732
42	COC(=O)[C@@]1(C(N)=O)O[C@]1(C)[C@@H](O)C(C)C	ZINC05761156
43	COC(=O)[C@@]1(C(N)=O)O[C@@]1(C)[C@@H](O)C(C)C	ZINC05761159
44	COC(=O)[C@@]1(C(N)=O)O[C@]1(C)[C@H](O)C(C)C	ZINC05761383
45	COC(=O)[C@@]1(C(N)=O)O[C@@]1(C)[C@H](O)C(C)C	ZINC05761387
46	COc1cc(OC)c2ccc(=O)oc2c1C[C@H]1OC1(C)C	ZINC05765565
47	CC(=O)OC[C@]12[C@H](O)C(=O)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@@]12CO2	ZINC05767566
48	COc1ccc2c(c1)c(CCNC(C)=O)cn2C[C@@H]1CO1	ZINC00294655
49	Brc1ccccc1OC[C@@H]1CO1	ZINC05771668
50	Brc1ccccc1OC[C@H]1CO1	ZINC05771674
51	O=S(=O)(C[C@@H]1CO1)c1ccccc1	ZINC05774977
52	O=S(=O)(C[C@H]1CO1)c1ccccc1	ZINC05774979
53	CSc1nc(SC)c2cnn(C[C@H]3CO3)c2n1	ZINC05810054
54	c1ccc2c(c1)CCC/C2=N\OC[C@H]1CO1	ZINC05810062
55	O=C(OC[C@H]1CO1)c1cccs1	ZINC05812861
56	CCCC(=O)Nc1ccc(OC[C@@H]2CO2)c(C(C)=O)c1	ZINC05819604
57	CCCC(=O)Nc1ccc(OC[C@H]2CO2)c(C(C)=O)c1	ZINC05819606
58	CCCCC[C@@H](O)[C@H]1O[C@H]1C=O	ZINC05821020
59	COC(=O)Cc1c[nH]c2ccc(OC[C@H]3CO3)cc12	ZINC00294674
60	CCCCOCCOC[C@@H]1CO1	ZINC05821460
61	CCCCOCCOC[C@H]1CO1	ZINC05821461
62	O=C([O-])[C@@]1(CCCCCCOc2ccc(Cl)cc2)CO1	ZINC05841692
63	O=C([O-])[C@]1(CCCCCCOc2ccc(Cl)cc2)CO1	ZINC05841707
64	CCOC(=O)[C@H]1O[C@]1(C)CC(C)C	ZINC05857077
65	CC(=O)OC[C@H](C(=O)OC1C[C@H]2[C@H]3O[C@H]3[C@@H](C1)[N+]2(C)C)c1ccccc1	ZINC05857157
66	C[C@]1(C(=O)/C=C\c2ccc(Cl)cc2)CO1	ZINC05898782
67	CO[C@@H]([C@@H]1CO1)n1nnc2ccccc21	ZINC05915167
68	CO[C@@H]([C@H]1CO1)n1nnc2ccccc21	ZINC05915170
69	COC(=O)Cc1c[nH]c2ccc(OC[C@@H]3CO3)cc12	ZINC00294676
70	CO[C@H]([C@@H]1CO1)n1nnc2ccccc21	ZINC05915211
71	CO[C@H]([C@H]1CO1)n1nnc2ccccc21	ZINC05915214
72	CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)NCCC(C)C	ZINC05922293
73	CC[C@]1(C)OC[C@H](COC[C@@H]2CO2)O1	ZINC05924039
74	CC[C@]1(C)OC[C@@H](COC[C@@H]2CO2)O1	ZINC05924044
75	C=C[C@](C)(CC[C@@H]1O[C@]1(C)CC)OC(C)=O	ZINC05924080
76	C=C[C@](C)(CC[C@H]1O[C@]1(C)CC)OC(C)=O	ZINC05924091
77	O[C@H]([C@@H]1CO1)[C@H](Oc1ccccc1)n1nnc2ccccc21	ZINC05947487
