SMILES Name
0 Cc1cc(Br)c2c(c1)C(=O)C(=O)N2
1 O=C1C(=O)N(Cc2ccccc2)c2ccccc21
2 O=C1C(=O)N(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)c2ccccc21
3 O=C1C(=O)N(C/C=C/c2ccccc2)c2ccccc21
4 Cc1cc(Br)c2c(c1)C(=O)C(=O)N2
5 CCCCCN1C(=O)C(=O)c2ccccc21
6 O=C1C(=O)N(CCc2ccccc2)c2ccccc21
7 O=C1C(=O)N(CCCc2ccccc2)c2ccccc21
8 O=C1C(=O)N(CN2CCN(Cc3ccccc3)CC2)c2ccccc21
9 CC(=O)c1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1
10 CC(=O)c1nc2ccccc2n1S(=O)(=O)c1ccc(Cl)cc1
11 COc1cccc(CN2CCN(CN3C(=O)C(=O)c4ccccc43)CC2)c1
12 O=C1C(=O)N(CN2CCOCC2)c2ccccc21
13 O=C1C(=O)N(CN2CCN(Cc3ccc(F)cc3)CC2)c2ccccc21
14 CCSc1nnc2c(n1)OC(C(=O)c1ccc(OC)cc1)Nc1ccccc1-2
15 O=C1C(=O)N(CN2CCN(CN3C(=O)C(=O)c4ccccc43)C2)c2ccccc21
16 CN1CCN(CN2C(=O)C(=O)c3ccccc32)CC1
17 O=C1C(=O)N(CN2CCN(Cc3cccc(Cl)c3)CC2)c2ccccc21
18 O=C1C(=O)N(CN2CCN(Cc3ccccc3F)CC2)c2ccccc21
19 O=C1C(=O)N(CN2CCN(Cc3cccc(F)c3)CC2)c2ccccc21
20 CCCSc1nnc2c(n1)OC(C(=O)c1ccc(OC)cc1)Nc1ccccc1-2
21 CCN(CC)CCC(=O)c1ccc2c(c1)OCO2
22 Cc1ccc(S(=O)(=O)NC(O)C(=O)c2cccs2)cc1
23 O=C(NC(O)C(=O)c1cccs1)c1ccncc1
24 CCOC(=O)CN1C(=O)C(O)(CC(=O)c2ccncc2)c2ccccc21
25 O=C1C(=O)N(Cc2ccccc2)c2ccccc21
26 O=C(NC(O)C(=O)c1cccs1)c1cccnc1
27 O=C1C(=O)N(CCc2ccccc2)c2ccc(Cl)cc21
28 O=C(CCN1CCOCC1)c1ccc2c(c1)OCCO2
29 O=C1C(=O)N(Cc2ccccc2)c2ccc(Cl)cc21
30 O=C1C(=O)N(CCc2ccccc2)c2ccc(Br)cc21
31 CCOC(=O)CN1C(=O)C(O)(CC(=O)c2ccccn2)c2ccccc21
32 Cc1cccc(C(=O)CN2CCN(S(=O)(=O)c3cc(Cl)ccc3Cl)CC2)c1
33 O=C1C(=O)N(Cc2ccccc2)c2ccc(Br)cc21
34 O=C1C(=O)N(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)c2ccc(Br)cc21
35 O=C1C(=O)N(C/C=C/c2ccccc2)c2ccc(Cl)cc21
