	SMILES	Name
0	CCCn1c(=O)c2[nH]c([C@H]3CCC(=O)C3)nc2n(CCC)c1=O	ZINC00005156
1	CCC[C@H]1C(=O)CC(C#N)(C#N)C(C#N)(C#N)[C@H]1c1ccccc1	ZINC00034321
2	O=C(c1ccccc1)C1CCN(C(=O)c2ccco2)CC1	ZINC00110139
3	Cc1ccc(O)c(C(=O)C[n+]2ccc3ccccc3c2)c1	ZINC01666287
4	C[C@@H]1C(=O)C[C@]2(C)CCC[C@]12CCC1OCCO1	ZINC71785875
5	C[C@H]1C(=O)C[C@]2(C)CCC[C@]12CCC1OCCO1	ZINC71785876
6	COC(=O)C[C@@H]1C(=O)[C@H]2C[C@@H](C1(C)C)C2(C)C	ZINC71786464
7	CC1(C)[C@@H]2CC[C@@]13O[C@H]3C[C@H]1[C@@H](OCCO)CCC[C@@]1(C)C(=O)C2	ZINC71786551
8	C=C(C)C[C@]1(C(=O)OCC)CC[C@H](C)C1=O	ZINC71786934
9	C=C(C)C[C@@]1(C(=O)OCC)CC[C@@H](C)C1=O	ZINC71786935
10	C=C(C)C[C@]1(C(=O)OCC)CC[C@@H](C)C1=O	ZINC71786936
11	COc1nc(C)c(C(C)=O)cc1Br	ZINC71788995
12	CSc1ccc(C(=O)C[n+]2ccccc2C)cc1	ZINC01667167
13	COc1ccc([C@H]2CCN(C(=O)OC(C)(C)C)CC2=O)cc1F	ZINC71790509
14	COc1ccc([C@@H]2CCN(C(=O)OC(C)(C)C)CC2=O)cc1F	ZINC71790510
15	CC(=O)c1cnn(CN2CCN(c3cccc(F)c3C#N)CC2)c1C	ZINC71792401
16	O=C(c1ccc(F)cc1)c1ccc(OCC(=O)N2CCC(c3ccccc3)=N2)cc1	ZINC71793890
17	Cc1ccc(Cl)c(OCC(=O)c2ccc3c(c2)CCCN3S(C)(=O)=O)c1	ZINC71795439
18	CC(=O)c1c(C)cc(C)c(C[S@@](=O)CC(=O)N2CCc3sccc3C2)c1C	ZINC71801189
19	CC(=O)c1c(C)cc(C)c(C[S@](=O)CC(=O)N2CCc3sccc3C2)c1C	ZINC71801190
20	CCn1c(S[C@@H]2CCCCC2=O)nnc1C1CC1	ZINC71801873
21	CCn1c(S[C@H]2CCCCC2=O)nnc1C1CC1	ZINC71801874
22	N#C[C@H](C(=O)CN1CCCCCCC1=O)c1nnc2n1CCCCC2	ZINC71803546
23	CSc1ccc(C(=O)C[n+]2cccc(C)c2)cc1	ZINC01667168
24	N#C[C@@H](C(=O)CN1CCCCCCC1=O)c1nnc2n1CCCCC2	ZINC71803547
25	CCNC(=O)N1CCN(C(=O)CCC(=O)c2ccccc2)CC1	ZINC71812476
26	CC(=O)c1c(F)cccc1N1CCN(C(=O)OC(C)(C)C)CC1	ZINC71817833
27	CCC(=O)[C@@H](C)OC(=O)[C@@H]1C[C@H](O)CN1C(=O)C12CC3CC(CC(C3)C1)C2	ZINC71821939
28	CCC(=O)[C@@H](C)OC(=O)[C@@H]1C[C@@H](O)CN1C(=O)C12CC3CC(CC(C3)C1)C2	ZINC71821940
29	CCC(=O)[C@H](C)OC(=O)[C@@H]1C[C@@H](O)CN1C(=O)C12CC3CC(CC(C3)C1)C2	ZINC71821941
30	Cc1ccc(C)c(C(=O)CSc2cccc[n+]2[O-])c1	ZINC71824569
31	COc1ccc(C(C)=O)cc1CC(=O)NCC#Cc1cccc(C(F)(F)F)c1	ZINC71827500
32	CCCn1nc(C(=O)Nc2nc(C(C)=O)cs2)ccc1=O	ZINC71831496
33	O=C(c1ccc(Cl)cc1)c1ccccc1C(=O)N1CCN([C@@H]2CCS(=O)(=O)C2)CC1	ZINC71834271
34	O=C(c1ccc(Cl)cc1)c1ccccc1C(=O)N1CCN([C@H]2CCS(=O)(=O)C2)CC1	ZINC71834272
35	O=C(c1ccc(Cl)cc1)c1ccccc1C(=O)N1CCC(O)CC1	ZINC71834432
36	Cc1ccc(C(=O)c2ccccc2C(=O)N2CCC(O)CC2)cc1C	ZINC71834433
37	O=C(c1ccc2c(c1)OCCO2)C1CC[NH+](Cc2cc(-c3ccc(Cl)cc3)no2)CC1	ZINC71836645
38	C[C@@H](c1ccccc1)N1C(=O)C(=O)N(CC(=O)c2ccc(Cl)c(Cl)c2)C1=O	ZINC71843028
39	C[C@H](c1ccccc1)N1C(=O)C(=O)N(CC(=O)c2ccc(Cl)c(Cl)c2)C1=O	ZINC71843029
40	CC(=O)c1ccccc1NC(=O)C1CCN(c2ccc3nncn3n2)CC1	ZINC71845133
41	CC(=O)c1csc(NC(=O)c2cnn(-c3ccc(F)cc3)c2-n2cccc2)n1	ZINC71845239
42	CC(=O)Nc1cccc(-n2nnnc2SCc2c(C)cc(C)c(C(C)=O)c2C)c1	ZINC71853010
43	O=C(c1ccccc1)c1cccc(NC(=O)N2CCCC2)c1	ZINC71857132
44	O=C(C[n+]1ccncc1)c1ccc2ccccc2c1	ZINC01667267
45	Cc1nn(C)c(C)c1C(=O)C(=O)Nc1cc(N2CCCC2=O)ccc1Cl	ZINC71895319
46	O=C(COc1ccccc1I)c1ccc(OC(F)F)cc1	ZINC71898256
47	CCC(=O)Cn1c(-c2ccccc2)c(C)sc1=O	ZINC71903258
48	O=C(c1ccccc1)C1CCN(C(=O)Nc2ccc(Cl)nn2)CC1	ZINC71912120
49	N#Cc1ccnc(SCC(=O)c2ccccc2)c1	ZINC71918469
50	CCc1ccc(CC)c(C(=O)CN2C(=O)N[C@](C)(c3cccc(Cl)c3)C2=O)c1	ZINC71918666
51	CCc1ccc(CC)c(C(=O)CN2C(=O)N[C@@](C)(c3cccc(Cl)c3)C2=O)c1	ZINC71918667
52	O=C1CCc2cc(C(=O)COC(=O)c3cc(O)ccc3O)ccc2N1	ZINC71920050
53	O=C(C[n+]1ccccc1Cl)c1ccc2ccccc2c1	ZINC01667273
54	Cc1cc(C(=O)CN2C(=O)CN(c3ccccc3)C2=O)c(C)n1-c1ccccc1	ZINC71937501
55	CCc1c(C(=O)NCC2(c3ccc4c(c3)OCCO4)CCCC2)[nH]c(C)c1C(C)=O	ZINC71948534
56	CC(=O)c1c(F)cccc1NCCN1CCN(C(C)=O)CC1	ZINC71953890
57	Cc1cc(=O)[nH]c(-c2cccc(NC(=O)CCC(=O)c3ccc(Cl)s3)c2)n1	ZINC71960243
58	Cc1nn(-c2ccccc2)c(C)c1C(=O)C(=O)N[C@@H](C)Cn1cncn1	ZINC71963346
59	Cc1nn(-c2ccccc2)c(C)c1C(=O)C(=O)N[C@H](C)Cn1cncn1	ZINC71963347
60	Cc1nn(-c2ccccc2)c(C)c1C(=O)C(=O)Nc1cc(CC2CCCCC2)n[nH]1	ZINC71965992
61	CCC(=O)[C@@H](C)C(=O)N[C@H]1CCc2nc(N)sc2C1	ZINC71974192
62	O=C(C[n+]1ccccc1)c1ccc2ccccc2c1	ZINC01667275
63	CCC(=O)[C@H](C)C(=O)N[C@H]1CCc2nc(N)sc2C1	ZINC71974193
64	CCOC(=O)CC(=O)c1cc(C)cc(C)c1	ZINC71976799
65	CC(=O)c1ccc(S(=O)(=O)N2C[C@@H](C)c3ccccc32)cc1	ZINC71977044
66	CC(=O)c1ccc(S(=O)(=O)N2C[C@H](C)c3ccccc32)cc1	ZINC71977045
67	CC(=O)c1cccc(S(=O)(=O)N2C[C@@H](C)c3ccccc32)c1	ZINC71977064
68	CC(=O)c1cccc(S(=O)(=O)N2C[C@H](C)c3ccccc32)c1	ZINC71977066
69	O=C(c1ccccc1)C1CCN(C(=O)C2=NN(Cc3ccc(F)cc3)C(=O)CC2)CC1	ZINC71996848
70	Cc1nn(-c2ccccc2)c(C)c1C(=O)C(=O)Nc1cc(-c2cccs2)n[nH]1	ZINC72006330
71	Cc1ccc(C(=O)C(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1	ZINC72011909
72	CC(=O)c1c(C)[nH]c(C(=O)NCc2cccc(Cn3cnc4ccccc43)c2)c1C	ZINC72035817
73	O=C(C[n+]1ccccc1)c1cccc2ccccc12	ZINC01667276
74	O=C(c1ccc2c(c1)OCO2)c1cc2cc3c(cc2o1)OCO3	ZINC72037954
75	CCOc1cccc([C@H](C)NC(=O)N2CCN(c3ccc(C(C)=O)cc3F)CC2)c1	ZINC72046743
76	Cc1cc(C)c(C(=O)CN(c2nccs2)S(=O)(=O)c2ccccc2)cc1C	ZINC72047724
77	O=C(CN(c1nccs1)S(=O)(=O)c1ccccc1)c1ccc2c(c1)CCCC2	ZINC72047729
78	CC(=O)c1c(C)[nH]c(C(=O)NCc2cn(-c3ccccc3)nc2-c2ccncc2)c1C	ZINC72048986
79	O=C(Cn1c(-c2ncccn2)noc1=O)c1ccc2c(c1)CCCC2	ZINC72057981
80	O=C(c1ccc(F)cc1)c1ccc(OC(=O)[C@@H]2CCCN(C(=O)C3CC3)C2)cc1	ZINC72059179
81	O=C(c1ccc(F)cc1)c1ccc(OC(=O)[C@H]2CCCN(C(=O)C3CC3)C2)cc1	ZINC72059180
82	CN1C[C@H](NC(=O)c2ccccc2C(=O)c2ccc(F)cc2)CC1=O	ZINC72063068
83	CN1C[C@@H](NC(=O)c2ccccc2C(=O)c2ccc(F)cc2)CC1=O	ZINC72063069
84	O=C(CC[n+]1ccncc1)c1ccc2ccccc2c1	ZINC01667279
85	C[C@H]1Oc2ccccc2N(CCC(=O)Nc2cccc(C(=O)c3ccccc3)c2)C1=O	ZINC72065308
86	C[C@@H]1Oc2ccccc2N(CCC(=O)Nc2cccc(C(=O)c3ccccc3)c2)C1=O	ZINC72065309
87	Cc1ccc(-n2c(C)cc(C(=O)Cn3cnc4c(nnn4-c4ccccc4)c3=O)c2C)cc1	ZINC72065969
88	Cc1cc([C@@]2(C)NC(=O)N(CC(=O)c3cc(C)n(CC(F)(F)F)c3C)C2=O)c(C)o1	ZINC72066151
89	Cc1cc([C@]2(C)NC(=O)N(CC(=O)c3cc(C)n(CC(F)(F)F)c3C)C2=O)c(C)o1	ZINC72066152
90	CC(=O)[C@@H]1CC(C(=O)Nc2ncccc2O)=NN1c1ccccc1	ZINC72067412
91	CC(=O)[C@H]1CC(C(=O)Nc2ncccc2O)=NN1c1ccccc1	ZINC72067413
92	CC(=O)c1cccc(NC(=O)Cc2ccccc2O)c1	ZINC72067478
93	CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@H]2C(=O)N(C)c2ccc(C)cc2)cc1	ZINC72070194
94	O=C(C[n+]1ccnc2ccccc21)c1ccc2ccccc2c1	ZINC01667302
95	CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@@H]2C(=O)N(C)c2ccc(C)cc2)cc1	ZINC72070195
96	Nc1c(C(=O)CSc2cccc(Cl)c2)c(=O)[nH]c(=O)n1C1CC1	ZINC72076837
97	CCS(=O)(=O)N1CCc2cc(C(=O)CSc3cccc(Cl)c3)ccc21	ZINC72076986
98	CC(C)(C)c1ccc(C(=O)C(=O)N2CCC[C@@H]2C[NH+]2CCCCC2)cc1	ZINC72094572
99	CC(C)(C)c1ccc(C(=O)C(=O)N2CCC[C@H]2C[NH+]2CCCCC2)cc1	ZINC72094573
100	CC(=O)c1cc(C)n(-c2ccc(C(=O)N3CCC[C@](O)(CO)CC3)cc2)c1C	ZINC72125623
101	CC(=O)c1cc(C)n(-c2ccc(C(=O)N3CCC[C@@](O)(CO)CC3)cc2)c1C	ZINC72125624
102	O=C(c1ccccc1)C1CCN(C(=O)C2CCC2)CC1	ZINC00110189
103	O=C(C[n+]1ccccc1-c1ccccn1)c1ccccc1	ZINC01667619
104	O=C(c1cccc(C(F)(F)F)c1)[C@@H]1CCCN(C(=O)C[NH+]2CCCC2)C1	ZINC72127227
105	O=C(c1cccc(C(F)(F)F)c1)[C@H]1CCCN(C(=O)C[NH+]2CCCC2)C1	ZINC72127228
106	CC(=O)c1cccc(C[NH+]2CCN(Cc3cc(C)cc(C)c3)C(=O)C2)c1	ZINC72129014
107	CC(=O)c1ccc(N2C[C@H]3C4CCC(CC4)[C@H]3C2)nc1	ZINC72140049
108	CC(=O)C1(c2ccccc2)CC[NH+](Cc2ccc3c(c2)OCCO3)CC1	ZINC72140428
109	CC(=O)c1ccc(NC(=O)N(Cc2ccncc2)C2CC[NH+](C)CC2)cc1	ZINC72141729
110	CC(=O)C1(c2ccccc2)CCN(S(=O)(=O)N2CCCCCC2)CC1	ZINC72143478
111	CC(C)(C)c1ccc(C(=O)[C@@H]2CCCN(C(=O)Cn3ncnn3)C2)cc1	ZINC72144970
112	CC(C)(C)c1ccc(C(=O)[C@H]2CCCN(C(=O)Cn3ncnn3)C2)cc1	ZINC72144971
113	CC(=O)C1(c2ccccc2)CC[NH+](Cc2ccc3c(c2)OCO3)CC1	ZINC72146808
114	O=C(C[n+]1ccncc1)c1ccc(-c2ccccc2)cc1	ZINC01667620
115	CC(=O)c1ccc(F)cc1-c1cc(N)nc2[nH]ccc12	ZINC72148755
116	Cc1nc(S(=O)(=O)N2CCC[C@H](C(=O)Cc3ccccc3)C2)cn1C	ZINC72151868
117	Cc1nc(S(=O)(=O)N2CCC[C@@H](C(=O)Cc3ccccc3)C2)cn1C	ZINC72151869
118	NC(=O)C1(C(=O)N2CCC[C@@H](C(=O)c3ccc4c5c(cccc35)CC4)C2)CC1	ZINC72156717
119	NC(=O)C1(C(=O)N2CCC[C@H](C(=O)c3ccc4c5c(cccc35)CC4)C2)CC1	ZINC72156719
120	CC(=O)C1(c2ccccc2)CC[NH+](Cc2noc(-c3ccco3)n2)CC1	ZINC72158330
121	O=C(CCc1ccccc1)[C@@H]1CCCN(S(=O)(=O)N2CCOCC2)C1	ZINC72161562
122	O=C(CCc1ccccc1)[C@H]1CCCN(S(=O)(=O)N2CCOCC2)C1	ZINC72161563
123	Cc1ccc(C(=O)c2ccccc2C(=O)N2CCn3cncc3C2)cc1	ZINC72162839
124	Cn1cccc1C(=O)C(=O)N1CC[C@@](C)(O)[C@@H](Cc2ccccc2)C1	ZINC72165915
125	O=C(C[n+]1ccnc2ccccc21)c1ccccc1	ZINC01668282
126	CCc1cccc2c(C(C)=O)cn(CC(=O)N3CCC[C@H]([NH+](C)C)CC3)c12	ZINC72166503
127	CCc1cccc2c(C(C)=O)cn(CC(=O)N3CCC[C@@H]([NH+](C)C)CC3)c12	ZINC72166504
128	CC(=O)c1ccc(N2CCOCC2)c(-c2ccnc3c2ccn3C)c1	ZINC72166954
129	O=C(CCc1ccccc1)[C@@H]1CCC[NH+](CC(=O)N2CCCCC2)C1	ZINC72167009
130	O=C(CCc1ccccc1)[C@H]1CCC[NH+](CC(=O)N2CCCCC2)C1	ZINC72167010
131	CC(=O)C1(c2ccccc2)CC[NH+](Cc2noc(C(C)(C)C)n2)CC1	ZINC72168095
132	NC(=O)NCC(=O)N1CCC[C@@H](C(=O)c2cccc3ccccc23)C1	ZINC72168511
133	NC(=O)NCC(=O)N1CCC[C@H](C(=O)c2cccc3ccccc23)C1	ZINC72168512
134	CC(=O)C1(c2ccccc2)CC[NH+](Cc2cccc3nonc23)CC1	ZINC72168555
135	Cc1ccc(CN2C(=O)[C@@](O)(CC(=O)c3ccccc3O)c3ccccc32)cc1	ZINC72193887
136	Cc1oc2ccccc2[n+]1CC(=O)c1ccccc1	ZINC01668283
137	Cc1ccc(CN2C(=O)[C@](O)(CC(=O)c3ccccc3O)c3ccccc32)cc1	ZINC72193888
138	O=C(C[C@]1(O)C(=O)N(Cc2cccc(Cl)c2)c2ccccc21)c1cccnc1	ZINC72194035
139	O=C(C[C@@]1(O)C(=O)N(Cc2cccc(Cl)c2)c2ccccc21)c1cccnc1	ZINC72194036
140	CCOC(=O)[C@]1(Br)CCN(Cc2ccccc2)CC1=O	ZINC72194255
141	CCOC(=O)[C@@]1(Br)CCN(Cc2ccccc2)CC1=O	ZINC72194256
142	CC(C)(C)OC(=O)N1CCC(=O)C(F)(F)C1	ZINC72194270
143	CC(=O)c1cccc(-c2cccc(Br)n2)n1	ZINC72204073
144	CC(=O)c1ccc(-c2cccc(Br)n2)nc1	ZINC72204080
145	CC(=O)c1ccnc(-c2cccc(Br)n2)c1	ZINC72204090
146	CC(=O)c1sc(Nc2ccc(N)cc2)[n+](C)c1C	ZINC72231078
147	O=C(C[n+]1cccc2ccccc21)c1ccccc1	ZINC01668290
148	COc1ccc(Cl)c(OCC(C)=O)c1	ZINC72233019
149	CC(=O)Cn1cc(C)c(=O)c2cc(C)cc(C)c21	ZINC72236951
150	CC(=O)Cn1cc(C)c(=O)c2ccc(C)c(C)c21	ZINC72237035
151	CC(=O)Cn1cc(C)c(=O)c2c(C)cc(C)cc21	ZINC72237054
152	CC(=O)Cn1ccc(=O)c2cc(Cl)c(C(F)(F)F)cc21	ZINC72237328
153	CC(=O)c1cccc(Nc2nc(C)cc(C(=O)[O-])n2)c1	ZINC72240829
154	CC(=O)c1ccc(Nc2nc(C)cc(C(=O)[O-])n2)cc1	ZINC72240830
155	Cc1c(C)n(C)c2ccc(C(=O)NCC(=O)C(C)(C)C)cc12	ZINC72256528
156	CC(C)(C)C(=O)CNC(=O)c1ccc(COc2ccccc2Br)o1	ZINC72256536
157	Cc1nn(Cc2ccc(C(=O)NCC(=O)C(C)(C)C)cc2)c(C)c1Br	ZINC72256592
158	CC(C)(C(=O)c1ccc(N)cc1)c1ccc(N)cc1	ZINC01668714
159	Cc1c(C(=O)NCC(=O)C(C)(C)C)oc2ccccc12	ZINC72256689
160	CN1C(=O)C[C@@H](C(=O)NCC(=O)C(C)(C)C)[C@H]1c1cccs1	ZINC72256735
161	CN1C(=O)C[C@H](C(=O)NCC(=O)C(C)(C)C)[C@H]1c1cccs1	ZINC72256736
162	CN1C(=O)C[C@@H](C(=O)NCC(=O)C(C)(C)C)[C@@H]1c1cccs1	ZINC72256737
163	CN1C(=O)C[C@H](C(=O)NCC(=O)C(C)(C)C)[C@@H]1c1cccs1	ZINC72256738
164	CN1C(=O)C[C@@H](C(=O)NCC(=O)C(C)(C)C)[C@H]1c1ccc(F)cc1	ZINC72256798
165	CN1C(=O)C[C@H](C(=O)NCC(=O)C(C)(C)C)[C@H]1c1ccc(F)cc1	ZINC72256799
166	CN1C(=O)C[C@@H](C(=O)NCC(=O)C(C)(C)C)[C@@H]1c1ccc(F)cc1	ZINC72256800
167	CN1C(=O)C[C@H](C(=O)NCC(=O)C(C)(C)C)[C@@H]1c1ccc(F)cc1	ZINC72256801
168	CN1C(=O)C[C@@H](C(=O)NCC(=O)C(C)(C)C)[C@H]1c1cccc(F)c1	ZINC72256802
169	CC(C)(C)c1ccc(C(=O)C[n+]2ccncc2)cc1	ZINC01668842
170	CN1C(=O)C[C@H](C(=O)NCC(=O)C(C)(C)C)[C@H]1c1cccc(F)c1	ZINC72256803
171	CN1C(=O)C[C@@H](C(=O)NCC(=O)C(C)(C)C)[C@@H]1c1cccc(F)c1	ZINC72256804
172	CN1C(=O)C[C@H](C(=O)NCC(=O)C(C)(C)C)[C@@H]1c1cccc(F)c1	ZINC72256805
173	Cc1ccsc1C(=O)NCC(=O)C(C)(C)C	ZINC72256852
174	Cc1ccc(C(=O)NCC(=O)C(C)(C)C)s1	ZINC72256857
175	CC(C)(C)C(=O)CNC(=O)c1cccc(C(F)(F)F)c1	ZINC72256866
176	CC(C)(C)OC(=O)N1CC[C@]2(CCC2=O)C1	ZINC72267033
177	CC(C)(C)OC(=O)N1CC[C@@]2(CCC2=O)C1	ZINC72267034
178	CC(=O)c1c(C)cc(C)c(CS(=O)(=O)C[C@@H](O)c2ccccc2Cl)c1C	ZINC72273144
179	CC(=O)c1c(C)[nH]c(-c2nc(-c3ccsc3)no2)c1C	ZINC72274893
180	Nc1nc(SCC(=O)c2ccc(Br)cc2)c2nc[nH]c2n1	ZINC01670869
181	CCCC(=O)NCC(=O)[C@@H](C#N)c1nc([O-])c2ccc(Cl)cc2n1	ZINC72275850
182	CCCC(=O)NCC(=O)[C@H](C#N)c1nc([O-])c2ccc(Cl)cc2n1	ZINC72275851
183	COC(=O)c1ncn(CC(=O)c2c[nH]c3ccccc23)n1	ZINC72280956
184	CCC(=O)Cc1ccc(N2CCC[NH2+]CC2)cc1	ZINC72284063
185	CC[C@@H](C)C(=O)Nc1ncc(C(C)=O)s1	ZINC72288198
186	CC[C@H](C)C(=O)Nc1ncc(C(C)=O)s1	ZINC72288199
187	CC(=O)c1c(C)[nH]c(C(=O)Nc2cnn(-c3ncccn3)c2)c1C	ZINC72291560
188	Cc1ncccc1C(=O)N1CCC[C@H](C(=O)c2ccc(F)cc2)C1	ZINC72291750
189	Cc1ncccc1C(=O)N1CCC[C@@H](C(=O)c2ccc(F)cc2)C1	ZINC72291751
190	Cc1ccc(C(=O)N2CCC[C@H](C(=O)c3ccc(F)cc3)C2)n1C	ZINC72291752
191	O=C1C(=O)C(c2ccccc2)(c2ccccc2)C(=O)N1c1ccccc1	ZINC01672814
192	Cc1ccc(C(=O)N2CCC[C@@H](C(=O)c3ccc(F)cc3)C2)n1C	ZINC72291753
193	Cc1cc(Cl)c(C#N)cc1C(=O)CBr	ZINC72319636
194	CO[C@H]1CC(=O)[C@@]23C(=O)N[C@H](CC(C)C)[C@@H]2C(C)=C(C)[C@@H](OO)[C@H]3/C=C(\C)CC[C@@H](O)[C@H]1O	ZINC72320650
195	CO[C@H]1CC(=O)[C@@]23C(=O)N[C@H](CC(C)C)[C@@H]2C(C)=C(C)[C@H](OO)[C@H]3/C=C(\C)CC[C@@H](O)[C@H]1O	ZINC72320651
196	CO[C@H]1CC(=O)[C@@]23C(=O)N[C@H](CC(C)C)[C@@H]2C(C)=C(C)[C@H](OO)[C@@H]3/C=C(\C)CC[C@@H](O)[C@H]1O	ZINC72320652
197	CCCc1c2c(nc3cc(C(=O)N4CCCCC4)[n-]c13)CCCC2=O	ZINC72322395
198	CC(=O)c1cc2ncc(C(=O)N3CCN(Cc4ccccc4)CC3)cc2[nH]1	ZINC72323347
199	COc1ccc(N2CCN(C(=O)c3cnc4cc(C(C)=O)[nH]c4c3)CC2)cc1	ZINC72323352
200	COc1ccccc1N1CCN(C(=O)c2cnc3cc(C(C)=O)[nH]c3c2)CC1	ZINC72323353
201	CC(=O)c1cc2ncc(C(=O)Nc3ccc(C)c(C)c3)cc2[nH]1	ZINC72323384
202	CC(=O)c1ccc(NC(=O)c2cnc3cc(C(=O)N(C)C)n(C)c3c2)cc1	ZINC72323427
203	CC(=O)c1cc2ncc(C(=O)N[C@H]3CCCC[C@H]3C)cc2[nH]1	ZINC72323698
204	CC(=O)c1cc2ncc(C(=O)N[C@H]3CCCC[C@@H]3C)cc2[nH]1	ZINC72323699
205	CC(=O)c1cc2ncc(C(=O)N[C@@H]3CCCC[C@H]3C)cc2[nH]1	ZINC72323700
206	CC(=O)c1cc2ncc(C(=O)N[C@@H]3CCCC[C@@H]3C)cc2[nH]1	ZINC72323701
207	CC(=O)c1cc2ncc(C(=O)Nc3ccccc3)cc2[nH]1	ZINC72323707
208	CC(=O)c1cc2ncc(C(=O)Nc3ccc(F)cc3)cc2[nH]1	ZINC72323709
209	CC(=O)c1cc2ncc(C(=O)Nc3cc(C)cc(C)c3)cc2[nH]1	ZINC72323710
210	CC(=O)c1cc2cc(C(=O)N3CCN(Cc4ccccc4)CC3)cnc2[nH]1	ZINC72323843
211	COc1ccc(N2CCN(C(=O)c3cnc4[nH]c(C(C)=O)cc4c3)CC2)cc1	ZINC72323848
212	O=C(c1ccccc1)c1cccc(N2C(=O)c3cccnc3C2=O)c1	ZINC00110486
213	CN(C)C(=S)SCC(=O)c1ccccc1	ZINC01675128
214	COc1ccccc1N1CCN(C(=O)c2cnc3[nH]c(C(C)=O)cc3c2)CC1	ZINC72323849
215	CC(=O)c1cc2cc(C(=O)N[C@H]3CCCC[C@H]3C)cnc2[nH]1	ZINC72323863
216	CC(=O)c1cc2cc(C(=O)N[C@H]3CCCC[C@@H]3C)cnc2[nH]1	ZINC72323864
217	CC(=O)c1cc2cc(C(=O)N[C@@H]3CCCC[C@H]3C)cnc2[nH]1	ZINC72323865
218	CC(=O)c1cc2cc(C(=O)N[C@@H]3CCCC[C@@H]3C)cnc2[nH]1	ZINC72323866
219	CC(=O)c1cc2cc(C(=O)Nc3ccccc3)cnc2[nH]1	ZINC72323886
