SMILES Name
0 COC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2C
1 COC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
2 C=CCNC(=O)CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O
3 CCCNC(=O)CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O
4 O=C(O)CCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O
5 O=C1NC(=O)c2ccc(NC(=O)c3ccccc3Cl)cc2C1=O
6 O=C(O)CCCC(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O
7 O=C(CCCl)Nc1ccc2c(c1)C(=O)C(=O)NC2=O
8 COC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
9 O=C(CCl)Nc1ccc2c(c1)C(=O)C(=O)NC2=O
10 COc1ccccc1C(=O)Nc1cccc2c1C(=O)C(=O)NC2=O
11 O=C1NC(=O)c2cccc(NC(=O)c3ccc(F)cc3)c2C1=O
12 COc1ccccc1C(=O)Nc1ccc2c(c1)C(=O)C(=O)NC2=O
13 O=C1NC(=O)c2cccc(NC(=O)c3ccccc3)c2C1=O
14 COC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
15 O=C(Cc1ccccc1)Nc1cccc2c1C(=O)C(=O)NC2=O
16 O=C(CCCCl)Nc1ccc2c(c1)C(=O)C(=O)NC2=O
17 O=C1NC(=O)c2cccc(NC(=O)c3ccccc3Cl)c2C1=O
18 O=C1Nc2ccc(S(=O)(=O)N3CCC3)cc2C1=O
19 COC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
20 O=C1Nc2ccc(S(=O)(=O)N3CCC3)cc2C1=O
21 COC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
22 O=C1NC(=O)c2ccc(NC(=O)c3ccccc3)cc2C1=O
23 O=C1NC(=O)c2cccc(NC(=O)C3CC3)c2C1=O
24 O=C(Cc1ccc(F)cc1)Nc1cccc2c1C(=O)C(=O)NC2=O
25 O=C(CCC(=O)n1sc2ccccc2c1=O)c1cccs1
26 O=C1NC(=O)c2cc(NC(=O)c3ccccc3)ccc2C1=O
27 O=C1NC(=O)c2ccc(NC(=O)C3CCCCC3)cc2C1=O
28 O=C1C(=O)N(Cc2ccccc2)C(=O)c2ccccc21
29 COCC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
30 O=C1NC(=O)c2cc(NC(=O)c3ccccc3Cl)ccc2C1=O
31 COc1ccccc1C(=O)Nc1ccc2c(c1)C(=O)NC(=O)C2=O
32 O=C1C(=O)N(CCc2ccccc2)C(=O)c2ccccc21
33 O=C1C(=O)N(Cc2ccc(F)cc2)C(=O)c2ccccc21
34 O=C(Nc1cccc2c1C(=O)C(=O)NC2=O)OCc1ccccc1
35 CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1
36 COCCN(C)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
37 COC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
38 CCOC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
39 COC[C@@H]1C[C@H](F)CN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
40 O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
41 CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O
42 O=C1Nc2ccc(S(=O)(=O)N3CCCCCC3)cc2C1=O
43 O=C1Nc2ccc(S(=O)(=O)N3CCCCC3)cc2C1=O
44 COC[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
45 O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
46 O=C1c2ccccc2-c2nnc(-c3ccc(F)cc3)cc21
47 O=C1Nc2ccc(S(=O)(=O)N3CCCC3)cc2C1=O
48 CCc1ccc(OCC(=O)NN=C2CC(=O)c3ccccc32)cc1
49 O=C1COc2ccc(C(=O)COC(=O)c3ccccc3Cl)cc2N1
50 COc1ccc(CN2C(=O)C(=O)c3ccccc3C2=O)cc1
51 CN1C(=O)C(=O)c2cc(I)ccc21
52 Cc1oc2c(c1C(=O)N1CCC(C)CC1)C(=O)c1ccccc1C2=O
53 Cc1ccc(C(=O)COC(=O)c2ccc(Cl)c(N)c2)s1
54 O=C1Nc2ccc(S(=O)(=O)N3CCCC3)cc2C1=O
55 Nc1c(C(=O)c2ccccc2)sc2[nH]c(=O)c(C(=O)O)cc12
56 CC(=O)Nc1ccc(C(=O)COC(=O)C2CCCCC2)c(F)c1
57 COC[C@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2
58 Cc1ccc(NC(=O)C(=O)c2c[nH]c3ccccc23)cc1
59 O=C1Nc2ccc(S(=O)(=O)N3CCOCC3)cc2C1=O
60 CCOC(=O)c1c(C)[nH]c(C(=O)OCC(=O)c2ccccc2)c1C
61 O=C(c1ccccc1)c1coc2c1C(=O)c1ccccc1C2=O
62 COc1ccc(C(=O)COC(=O)c2ccccc2O)c(OC)c1
63 COc1ccccc1N(N=C1Sc2ccccc2C1=O)C(C)=O
64 COc1ccc(C(=O)COC(=O)c2n[nH]c3ccccc23)c(OC)c1
65 O=C1C(=O)C(CCCCl)C(=O)c2ccccc21
66 CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
67 O=C(NC1(O)C(=O)c2ccccc2C1=O)c1ccccc1
68 O=C(NC1(O)C(=O)c2ccccc2C1=O)c1ccc(C(F)(F)F)cc1
69 Cc1ccc(C(=O)NC2(O)C(=O)c3ccccc3C2=O)cc1C
70 COC[C@@H]1CCCN1S(=O)(=O)c1cc(F)c2c(c1)C(=O)C(=O)N2
71 Cc1nc2ccc(C#N)cc2c2c1C(=O)C(c1c(C)nn(C)c1C)C2=O
72 Cc1nc2ccc(Br)cc2c2c1C(=O)CC2=O
73 COC(=O)CCC1C(=O)c2c(C)nc3ccccc3c2C1=O
74 COC(=O)CCC1C(=O)c2c(C)nc3ccc(F)cc3c2C1=O
75 COC(=O)CC1C(=O)c2c(C)nc3ccccc3c2C1=O
76 COC(=O)CC1C(=O)c2c(C)nc3ccc(F)cc3c2C1=O
77 Cc1nc2ccc(Br)cc2c2c1C(=O)C(C)C2=O
78 COC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2C
