	SMILES	Name
0	CCC(=O)c1cc2n(c(=O)c1C)Cc1cc3ccccc3nc1-2	ZINC00016249
1	CC(=O)c1ccc(NC(=O)Cc2cccs2)cc1	ZINC00030656
2	CCC(=O)N1CCN(c2ccc(C(C)=O)cc2F)CC1	ZINC00035092
3	CCC(=O)c1ccc(N2CCN(C(C)=O)CC2)c(F)c1	ZINC00035102
4	CCCC(=O)c1ccc(N2CCN(C(=O)OCC)CC2)c(F)c1	ZINC00036279
5	O=C1C[C@@H](n2nnn(C3CCCCC3)c2=S)[C@@H]2CO[C@H]1O2	ZINC00036805
6	CN1C(=O)[C@](O)(CC(=O)c2ccccc2)c2ccccc21	ZINC00037760
7	CN1C(=O)[C@@](O)(CC(=O)c2ccccc2)c2ccccc21	ZINC00037761
8	COc1ccc(C(=O)Cc2ccccc2)cc1OC	ZINC00042738
9	CC(C)(C)c1ccc(C(=O)C[C@@H](C(=O)[O-])[NH+]2CCCC2)cc1	ZINC00044552
10	CC(C)(C)c1ccc(C(=O)C[C@H](C(=O)[O-])[NH+]2CCCC2)cc1	ZINC00044553
11	CC1(C)CC(=O)c2cc(-c3ccccc3)n(CC(=O)[O-])c2C1	ZINC00049520
12	O=C(C[C@@]1(O)C(=O)Nc2ccccc21)c1ccc2c(c1)OCCO2	ZINC00052263
13	COc1ccc([C@@H]2c3c(noc3C)C[C@](C)(O)[C@@H]2C(C)=O)cc1	ZINC00053133
14	COc1ccc(CC(=O)c2ccc(OC)cc2)cc1	ZINC00057138
15	COc1ccc2c(c1)O[C@@H](c1cccc(OC)c1OC)CC2=O	ZINC00057760
16	COc1ccc2c(c1)O[C@H](c1cccc(OC)c1OC)CC2=O	ZINC00057761
17	COc1ccc2c(c1)C(=O)C[C@@H](c1ccc(OC)c(OC)c1)O2	ZINC00057762
18	COc1ccc2c(c1)C(=O)C[C@H](c1ccc(OC)c(OC)c1)O2	ZINC00057763
19	COc1ccc2c(c1)C(=O)C[C@@H](c1cccc(OC)c1OC)O2	ZINC00057764
20	COc1ccc2c(c1)C(=O)C[C@H](c1cccc(OC)c1OC)O2	ZINC00057765
21	Cc1ccc(S(=O)(=O)CC(=O)c2cc3ccccc3oc2=O)cc1	ZINC00057832
22	COc1ccc([C@@H]2CC(=O)c3cc(OC)ccc3O2)c(OC)c1	ZINC00057856
23	COc1ccc([C@H]2CC(=O)c3cc(OC)ccc3O2)c(OC)c1	ZINC00057857
24	Cc1ccc(S(=O)(=O)CC(=O)c2ccc(Cl)cc2)cc1	ZINC00058240
25	Nn1c(SCC(=O)c2ccc(Cl)cc2)nc2ccccc2c1=O	ZINC00080494
26	CC(=O)c1cccc(N2C(=O)c3cccnc3C2=O)c1	ZINC00084718
27	O=C1CS(=O)(=O)N(Cc2ccccc2)c2ccccc21	ZINC00092204
28	CC(=O)c1sc([N-]S(=O)(=O)c2ccc(C)cc2)nc1C	ZINC00098969
29	CC(=O)c1ccccc1N1C(=O)[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C1=O	ZINC00102012
30	Cc1nnsc1C(=O)N1CCC(C(=O)c2ccccc2)CC1	ZINC00110197
31	Cc1cc(C)nc(SCC(=O)c2ccccc2)n1	ZINC00115184
32	CC(C)CNC(=O)c1cccc2c1-c1ccccc1C2=O	ZINC00116888
33	O=C1CCC(=O)c2oc3ccc(Br)cc3c2N1	ZINC00118665
34	CNc1nc(N)c(C(=O)c2ccc(C)cc2)s1	ZINC00118867
35	CCOC(=O)c1sc(SC)c(C(C)=O)c1C	ZINC00125610
36	CC(=O)c1cccc(NS(=O)(=O)c2ccc(Cl)cc2)c1	ZINC00127354
37	Cc1ccc(C(=O)CSc2nnc(C)s2)cc1	ZINC00129089
38	CC(C)(C)SCC(=O)c1ccc2c(c1)CCC(=O)N2	ZINC00132415
39	CCc1ccc(C(=O)C[C@@]2(O)C(=O)N(CC)c3ccccc32)cc1	ZINC00134968
40	COC(=O)c1ccc(-n2c(C)cc(C(=O)CCl)c2C)cc1	ZINC00137188
41	Cc1csc(CC(=O)c2ccc(O)cc2O)n1	ZINC00138761
42	COc1ccc(Br)c(C(=O)/C(C#N)=N/[O-])c1	ZINC00138951
43	Cc1nn(-c2ccc(F)cc2)c2c1C(=O)CC(C)(C)C2	ZINC00140617
44	CCOC(=O)c1ccccc1C(=O)c1ccccc1	ZINC00141650
45	O=CNc1ccc(Cl)cc1C(=O)c1ccccc1	ZINC00152579
46	CC(=O)CSc1ncnc2sc3c(c12)CCCC3	ZINC00154705
47	CCc1cc(C(=O)c2ccc(OC)cc2)c(N)s1	ZINC00155018
48	C[NH+]1CCc2c(sc(N)c2C(=O)c2ccc(Cl)cc2)C1	ZINC00155025
49	C[N+](C)(C)Cc1ccc(C(=O)c2ccccc2)cc1	ZINC00155088
50	O=C(CN1C(=O)c2ccccc2S1(=O)=O)c1ccc(F)cc1	ZINC00156549
51	O=C(CN1C(=O)c2ccccc2C1=O)c1ccc(F)cc1	ZINC00157086
52	CC(=O)Cn1cnc2c(sc3nc(C)cc(C)c32)c1=O	ZINC00157386
53	Cc1ccc(C(=O)C[C@H](O)C(Cl)(Cl)Cl)cc1	ZINC00158123
54	Cc1ccc(C(=O)C[C@@H](O)C(Cl)(Cl)Cl)cc1	ZINC00158124
55	O=C(CBr)c1ccc(N2CCOCC2)cc1	ZINC00158849
56	Cc1nc(-c2cnccn2)sc1C(=O)CBr	ZINC00158929
57	O=C(CN1CC[n+]2cc(-c3ccccc3)sc21)c1ccccc1	ZINC00161782
58	COc1ccc([C@H]2CC(=O)c3c(OC)cc(OC)cc3O2)cc1	ZINC00161951
59	COc1ccc([C@@H]2CC(=O)c3c(OC)cc(OC)cc3O2)cc1	ZINC00161953
