SMILES Name
0 C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1
1 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1
2 C=CC(=O)N1CCC[C@@H](n2nc(C3CC3)c3c(N)ncnc32)C1
3 CC(C)C=CC(=O)c1cc(O)c2c(O)ccc(O)c2c1O
4 C=CC(=O)N1CCC[C@@H](n2nc(-c3ccccc3)c3c(N)ncnc32)C1
5 C=CC(=O)N1CCC[C@@H](n2nc(C3CC3)c3c(N)ncnc32)C1
6 C=CC(=O)N1CCC[C@@H](n2nc(-c3ccccc3)c3c(N)ncnc32)C1
7 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1
8 COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2)c1O
9 C[C@@H](NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1)c1ccccc1
10 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1
11 N#C/C(=C/c1ccc(O)c(O)c1)C(=O)Nc1ccccc1Cl
12 N#C/C(=C/c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1
13 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(F)cc1
14 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1
15 N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O
16 C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)c(O)c1
17 C#Cc1nn([C@@H]2CCCN(C(=O)C=C)C2)c2ncnc(N)c12
18 C=CC(=O)N1CCC[C@@H](n2nc(C3CC3)c3c(N)ncnc32)C1
19 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1
20 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1
21 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1
22 O=C1NC(=O)N(CCc2ccccc2)/C1=C/c1ccc(O)cc1
23 C[C@H](NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1)c1ccccc1
24 Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1
25 C=CC(=O)Nc1cc(Nc2cc[nH]n2)nc(-c2ccccc2)n1
26 C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(NC)nc32)c1
27 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1
28 N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O
29 C#Cc1nn([C@@H]2CCCN(C(=O)C=C)C2)c2ncnc(N)c12
30 C=CC(=O)N1CCC(Nc2nc(Nc3ccccc3)ncc2F)CC1
31 CC(C)c1cc(/C=C(\C#N)C(N)=O)cc(C(C)C)c1O
32 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccccc1
33 C=C(C)CN1C(=O)C(=C)SC1=NN=c1scc(O)n1C
34 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1Cl
35 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1
36 C=C(CN1CCOCC1)C(=O)c1ccc(OCc2ccccc2)cc1
37 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1
38 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccccc1
39 C#Cc1nn([C@@H]2CCCN(C(=O)C=C)C2)c2ncnc(N)c12
40 C=C(CN1CCNCC1)C(=O)c1ccc(OCc2ccccc2)cc1
41 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCCCC1
42 C=CC(=O)N1CCC[C@@H](n2ncc3c(N)ncnc32)C1
43 COc1ccc(NC(=O)/C(C#N)=C/c2ccc(O)c(O)c2)c(OC)c1
44 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1
45 N#C/C(=C/c1ccc(O)c(O)c1)C(=O)NC1CCCCC1
46 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1
47 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1Cl
48 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)N1CCc2ccccc21
49 C=CC(=O)N1CCC[C@@H](n2ncc3c(N)ncnc32)C1
50 C[C@@H](NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1)c1ccccc1
51 NC(=O)C1=C(N)C(=O)C=C(Nc2ccccc2O)C1=O
52 COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2)c1O
53 N#C/C(=C\c1cc(O)c(O)c(CSCc2ccccc2)c1)C(N)=O
54 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccc(O)cc1
55 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1cccs1
56 COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O
57 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)N1CCN(c2ccccc2)CC1
58 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1
59 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1
60 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1
61 Cc1cccc(C)c1NC(=O)/C(C#N)=C/c1ccc(O)c(O)c1
62 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(F)cc1
63 COc1ccccc1NC(=O)/C=C/c1ccccc1
64 C=CC(=O)N1CCC(Nc2nc(Nc3ccccc3)ncc2F)CC1
65 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCCCC1
66 C=CCN1C(=O)C(=C)SC1=NN=c1scc(O)n1C
67 C=CC(=O)N1CCC[C@@H](n2ncc3c(N)ncnc32)C1
68 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1
69 O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O
70 COc1cc(/C=C(\C#N)C(N)=O)cc(CSC2=NCCS2)c1O
71 COc1ccc(NC(=O)/C=C/c2ccccc2)cc1
72 CCOC(=O)C1=C2C(=NC1=O)c1cccc3cccc2c13
73 O=C1NC(=S)N/C1=C\c1ccc2ncsc2c1
74 O=C1NC(=S)S/C1=C\c1ccc2ncccc2c1
75 O=C1NC(=S)S/C1=C\c1ccc2ncsc2c1
76 O=C1NC(=S)S/C1=C\c1ccc2c(c1)CCO2
77 O=C1N=C(O)SC1=Cc1ccc2nccnc2c1
78 C=CC(=O)Nc1cccc(Oc2nccc(Nc3cc(C)[nH]n3)n2)c1
79 C=CC(=O)Nc1cccc(-c2nccc(Nc3cc(C)[nH]n3)n2)c1
80 O=C1Nc2ccc(Br)cc2C1=C1Nc2ccccc2C1=O
81 O=C1Nc2ccc(S(=O)(=O)O)cc2C1=C1Nc2ccccc2C1=O
82 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1
83 N#C/C(=C\c1ccc2[nH]ccc2c1)C(=O)c1ccc(O)c(O)c1
