	SMILES	Name
0	O=C(/C=C/c1ccc2c(c1)OCO2)N1CCCCC1	ZINC00001551
1	COC(=O)C1=C(C)N(C)C(=O)N[C@@H]1c1ccc(OC(F)(F)F)cc1	ZINC00036502
2	O=C1/C(=C\c2ccccc2)N=C2SCCCCN12	ZINC00068342
3	O=C1/C(=C/c2ccc3c(c2)OCO3)SC(=S)N1C[C@H]1CCCO1	ZINC01188035
4	CCCN(CC(=O)OCC)C(=O)/C=C/c1nc2ccccc2s1	ZINC79215021
5	COCCN(C)C(=O)/C=C/C1=Cc2cc(Cl)ccc2OC1	ZINC79215593
6	Cc1ccc(/C=C/C(=O)NCc2ccc(CN3CCCC3=O)cc2)o1	ZINC79220609
7	O=C(/C=C/c1cccs1)NCc1ccc(CN2CCCC2=O)cc1	ZINC79221030
8	O=C(/C=C/c1cccnc1)Nc1ccc(CN2CCCC2=O)cc1	ZINC79231534
9	O=C(/C=C\c1ccc(F)cc1)NCc1cc[nH+]c(N2CCCCC2)c1	ZINC79255918
10	O=C(/C=C/c1ccc(F)cc1)NCc1cc[nH+]c(N2CCCCC2)c1	ZINC79255920
11	O=C(/C=C\c1cccc(F)c1)NCc1cc[nH+]c(N2CCCCC2)c1	ZINC79255968
12	O=C(/C=C/c1cccc(F)c1)NCc1cc[nH+]c(N2CCCCC2)c1	ZINC79255971
13	O=C1/C(=C\c2ccc3c(c2)OCO3)SC(=S)N1C[C@@H]1CCCO1	ZINC01188037
14	O=C(/C=C/c1cccs1)NCc1cc[nH+]c(N2CCCCC2)c1	ZINC79255979
15	CCc1cc(C#N)c(NC(=O)/C=C/c2ccc(C(=O)NC)cc2)s1	ZINC79263621
16	C/C=C\C=C/C(=O)Nc1cc(S(=O)(=O)N(C)C(C)C)ccc1C	ZINC79279455
17	C/C=C/C=C\C(=O)Nc1cc(S(=O)(=O)N(C)C(C)C)ccc1C	ZINC79279457
18	C/C=C\C=C\C(=O)Nc1cc(S(=O)(=O)N(C)C(C)C)ccc1C	ZINC79279461
19	Cc1nn(-c2ccccc2)c(C)c1C(=O)/C=C/c1ccnn1C	ZINC79297919
20	Cn1nccc1/C=C/C(=O)c1cccc(N2CCOC2=O)c1	ZINC79297921
21	Cc1cccc(NC(=O)/C=C/c2nc3ccccc3s2)c1C(N)=O	ZINC79319390
22	CCOc1cccc2c1OCC(C(=O)Nc1cc(C)on1)=C2	ZINC79325598
23	COCCCNC(=O)C1CCN(C(=O)C=C2CCC(C)CC2)CC1	ZINC79352037
24	O=C1/C(=C/c2ccc3c(c2)OCO3)SC(=S)N1C[C@@H]1CCCO1	ZINC01188038
25	CC(=O)Nc1ccc(/C=C/C(=O)N2CCC[C@@H]2c2cccn2C)cc1	ZINC79355330
26	CC(=O)Nc1ccc(/C=C/C(=O)N2CCC[C@H]2c2cccn2C)cc1	ZINC79355332
27	O=C(/C=C/c1ccncc1)NCc1nc(-c2cccc(Cl)c2)no1	ZINC79362045
