SMILES Name
0 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)[C@@H]2CC[C@H]1C2
1 C=CC(=O)N1C[C@H](O)C[C@@H](Nc2ncnc3[nH]ccc23)C1
2 C=CC(=O)N1CCC[C@@H](Nc2ccnc3[nH]cc(C)c23)C1
3 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CCC1(C)C
4 C=CC(=O)N1CC[C@@H](Nc2cnc3[nH]ccc3n2)C1
5 C=CC(=O)N1CCC[C@H](Nc2ncnc3[nH]ccc23)[C@H]1C
6 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCC#N)c23)C1
7 O=C(/C=C\CO)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
8 C=CC(=O)c1c[nH]c2ncnc(N[C@H]3CN(C(=O)C=C)CC[C@H]3F)c12
9 C=CC(=O)NC1CN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
10 C=C(CO)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
11 C=CC(=O)N1C[C@@H](C)C[C@H](Nc2ncnc3[nH]ccc23)C1
12 C/C=C/C(=O)N1CCC2CCN(c3ncnc4[nH]ccc34)C2C1
13 C=C(COC)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
14 C=CC(=O)N1CCC[C@@](C)(Nc2ncnc3[nH]ccc23)C1
15 COC(=O)C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
16 C=CC(=O)N1CCC(Nc2cnc3[nH]ccc3n2)CC1
17 C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(CCOC)c23)c1
18 C=CC(=O)NC1CCN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
19 C=CC(=O)N1CC[C@@H]2CN(c3ncnc4[nH]ccc34)[C@@H]2C1
20 C=CC(=O)N1CC[C@@H](O)[C@@H](Nc2ncnc3[nH]ccc23)C1
21 C=CC(=O)Nc1cccc(-c2cnc3[nH]ccc3c2)c1
22 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)[C@H]1C
23 C=CC(=O)Nc1cccc(-c2cnc3[nH]nc(C)c3c2)c1
24 CCOC(=O)C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1
25 C=CC(=O)N[C@@H]1CCN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
26 O=C(/C=C/c1c[nH]cn1)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
27 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1CC
28 C=C(C)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCOC)c23)C1
29 C=CC(=O)N1C[C@H](C)C[C@@H](Nc2ncnc3[nH]ccc23)C1
30 C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
31 C=CC(=O)N1CC2(C1)CN(c1cnc3[nH]ccc3n1)C2
32 C=CC(=O)N[C@H]1CCN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
33 C=CC(=O)N1CC(Nc2ncnc3[nH]ccc23)CCC1(C)C
34 C=CC(=O)N1CC(Nc2ncnc3[nH]ccc23)CCC1CO
35 C=CC(=O)N1CCC[C@](C)(Nc2ncnc3[nH]ccc23)C1
36 C=CC(=O)N1CC[C@@H](C)[C@@H](N(C)c2ncnc3[nH]ccc23)C1
37 C=CC(=O)N1CCC2CCN(c3nc(N)nc4[nH]ccc34)C2C1
38 C=CC(=O)N1C[C@H](C)C[C@@H](Nc2ncnc3[nH]ccc23)C1
39 C=CC(=O)N1CCC2CCN(c3ncnc4[nH]ccc34)C2C1
40 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)C[C@@H](OC)C1
41 C=CC(=O)N1CC[C@H](C)[C@H](Nc2ncnc3[nH]ccc23)C1
42 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CCC1(C)C
43 C=C(C)C(=O)N1CCC2CCN(c3ncnc4[nH]ccc34)C2C1
44 C=CC(=O)N1CCN(c2cnc3[nH]ccc3n2)CC1
45 C=CC(=O)Nc1cccc(-c2ncnc3[nH]ccc23)c1
46 C=CC(=O)N[C@H]1CCN(c2cnc3[nH]ccc3n2)C1
47 C=CC(=O)N1[C@H]2CC[C@H](Nc3ncnc4[nH]ccc34)[C@@H]1CC2
48 C=CC(=O)NC1CCN(c2cnc3[nH]ccc3n2)C1
49 C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
50 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CC[C@H]1C
51 C=CC(=O)N1CC(Nc2ncnc3[nH]ccc23)CC[C@H]1C
52 CS/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
53 CC(C)=C(C#N)C(=O)N1CCCC(Nc2ncnc3[nH]ccc23)C1
54 C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCOC)c23)C1
55 O=C(/C=C/C(F)F)N1CC[C@@H]2CCN(c3ncnc4[nH]ccc34)[C@@H]2C1
56 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)C[C@@H](N(C)C)C1
57 C=CC(=O)N1CCC(Nc2cnc3[nH]ccc3n2)C1
58 C=CC(=O)N1CCCC(C)(Nc2ncnc3[nH]ccc23)C1
59 C=CC(=O)NC[C@@]12CC1CN(c1cnc3[nH]ccc3n1)C2
60 C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCO)c23)C1
61 C=CC(=O)N1CCC[C@@H](N(C)c2ncnc3[nH]ccc23)C1
62 C=C(C)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCO)c23)C1
63 O=C1/C(=C/c2ccc(O)c(O)c2)Oc2cc(O)ccc21
64 C=CC(=O)N1CCC2OCCN(c3ncnc4[nH]ccc34)C2C1
65 C=C(F)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
66 C=CC(=O)N1CCC2CCN(c3ncnc4[nH]cc(C(C)=O)c34)C2C1
67 C=C(CN(C)C)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
68 C/C=C/C(=O)N1CCC[C@@H](N2CC(C)c3c[nH]c4ncnc2c34)C1
69 O=CC1=CCC[C@@H](C(=O)O)[C@]2(C1)Oc1ccc(O)cc1C2=O
70 C=CC(=O)N1CC[C@@H](C)[C@H](Nc2ncnc3[nH]ccc23)C1
71 C=CC(=O)N1CC[C@H](O)[C@@H](Nc2ncnc3[nH]ccc23)C1
72 C=C(C)C(=O)N1CCC[C@@H](N2CC(C)c3c[nH]c4ncnc2c34)C1
73 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
74 O=C1C=C(Nc2cccc(OCCNc3ccnc(F)c3)c2)C(=O)N1
75 COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)C=CC[C@H](C)OC2=O
76 C=C(CN(C)C)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
77 C=C(CO)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
78 C=C(COC)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
79 C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
80 CC(C)=C(C#N)C(=O)N1CCCC(Nc2ncnc3[nH]ccc23)C1
81 COC(=O)C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
82 CS/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
83 CC/C=C(\C#N)C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
84 O=C(/C=C\CO)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
85 C/C=C\C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
86 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@H]1C
87 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CCC[C@H]1C
88 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CC[C@H]1CO
89 C=CC(=O)N1CC(Nc2ncnc3[nH]ccc23)CCC1CO
90 C=CC(=O)N1CCC2OCCN(c3ncnc4[nH]ccc34)C2C1
91 C=CC(=O)c1c[nH]c2ncnc(N[C@H]3CN(C(=O)C=C)CC[C@H]3F)c12
92 C=CC(=O)N1CCC[C@H](Nc2ncnc3[nH]ccc23)[C@H]1C
93 C=CC(=O)N1CC[C@@]2(C)CCN(c3ncnc4[nH]ccc34)C2C1
94 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CCC1(C)C
95 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@H]1CC
96 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1CC
97 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)[C@@H]2CC[C@H]1C2
98 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)C2CCC1C2
99 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)C[C@@H](C)C1
100 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
101 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CC(C)C)c23)C1
102 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(C=C)c23)C1
103 C=CC(=O)N1CCC[C@@](C)(Nc2ncnc3[nH]ccc23)C1
104 C=CC(=O)N1C[C@@H](C)C[C@H](Nc2ncnc3[nH]ccc23)C1
105 C=CC(=O)N1C[C@H](OC)C[C@@H](N(C)c2ncnc3[nH]ccc23)C1
106 C/C=C/C(=O)N1CCC2CCN(c3ncnc4[nH]ccc34)C2C1
107 C=C(C)C(=O)N1CCC2CCN(c3ncnc4[nH]ccc34)C2C1
108 O=C(/C=C/CF)N1CC[C@@H]2CCN(c3ncnc4[nH]ccc34)[C@@H]2C1
109 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CC(C)(C)O)c23)C1
110 C/C=C/C(=O)N1CC[C@@H](O)[C@@H](Nc2ncnc3[nH]ccc23)C1
111 C=CC(=O)N1Cc2ncn(C)c2C(Nc2ncnc3[nH]ccc23)C1
112 C=CC(=O)N1CC[C@@H](Nc2cnc3[nH]ccc3n2)C1
113 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@H]1C
114 C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
115 C=CC(=O)N1C[C@@H](C)C[C@H](Nc2ncnc3[nH]ccc23)C1
116 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)C[C@@H](C)C1
117 C=CC(=O)N1C[C@@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
118 CC(=Cc1ccccc1)C(=O)CCN1CCOCC1
119 O=C(C=Cc1ccccc1Cl)CCN1CCOCC1
120 N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1
121 C=CC(=O)N1CCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1
122 O=CC1=CCC[C@@H](C(=O)O)[C@@]2(C1)Oc1ccc(O)cc1C2=O
123 C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1
124 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(Cl)c23)C1
125 C=CC(=O)N1CCC(Nc2cnc3[nH]cc(-c4ccccc4)c3n2)CC1
126 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]cc(Cl)c23)CC[C@@H]1C
127 C=CC(=O)N1CCC[C@@H](Nc2ccnc3[nH]cc(C#N)c23)C1
128 C=CC(=O)N1CCC[C@@H](Nc2ccnc3[nH]cc(Cl)c23)C1
129 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
130 C=CC(=O)N1C[C@H](C#N)C[C@@H](Nc2ncnc3[nH]ccc23)C1
131 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1CO
132 C=CC(=O)N1CC(Nc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
133 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1CO
134 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CC)c23)C1
135 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
136 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
137 C=CC(=O)Nc1cccc(-c2ncnc3[nH]ccc23)c1
138 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
139 C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1
140 C=CC(=O)N[C@H]1CCC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1
141 C=CC(=O)NC1CC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1
142 C=CC(=O)NC1CC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1
143 C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccco4)c23)CCC1
144 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
145 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
146 C=CC(=O)N1CC[C@@H]2CCN(c3ncnc4[nH]ccc34)[C@@H]2C1
147 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1CC
148 C=CC(=O)N1CCN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)CC1
149 C=CC(=O)N1CC[C@H](Nc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
150 C=CC(=O)N1CC[C@H](C)[C@@H](Nc2ncnc3[nH]ccc23)C1
151 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]cc(CCOC)c23)CC[C@@H]1C
152 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C
153 C=CC(=O)N1CC[C@H]2CCN(c3ncnc4[nH]ccc34)[C@H]2C1
154 C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccoc4)c23)C1
155 C=CC(=O)N1CCC(Nc2cnc3[nH]cc(-c4cccnc4)c3n2)CC1
156 C=CC(=O)N1C[C@H](Nc2ccnc3[nH]cc(C#N)c23)CC[C@@H]1C
157 C=CC(=O)N1C[C@@H](C)C[C@@H](Nc2ncnc3[nH]ccc23)C1
158 C=CC(=O)N1CC[C@H](F)[C@@H](Nc2ncnc3[nH]ccc23)C1
159 C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(CCOC)c23)c1
160 C=CC(=O)N1C[C@H](F)C[C@@H](Nc2ncnc3[nH]ccc23)C1
161 C=CC(=O)N(C)C1CN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
162 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]cc(C#N)c23)CC[C@@H]1C
163 C=CC(=O)N1C[C@@H](OC)C[C@@H](Nc2ncnc3[nH]ccc23)C1
164 C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1
165 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1
166 C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccoc4)c23)CCC1
167 C=CC(=O)N1[C@@H]2CC[C@@H](Nc3ncnc4[nH]ccc34)[C@H]1CC2
168 C#Cc1c[nH]c2ncnc(N3CC[C@H]4CCN(C(=O)C=C)C[C@H]43)c12
169 C=CC(=O)N1CCC(Nc2cnc3[nH]cc(-c4cncnc4)c3n2)CC1
170 C=CC(=O)N1C[C@@H](F)C[C@@H](Nc2ncnc3[nH]ccc23)C1
171 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(F)c23)C1
172 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(C#N)c23)C1
173 C=CC(=O)N1CCC2CCN(c3ncnc4[nH]ccc34)C2C1
174 C=CC(=O)N[C@H]1C[C@H](Nc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
175 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CC#N)c23)C1
176 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(C)c23)C1
177 C=CC(=O)N1C[C@@H](O)C[C@@H](Nc2ncnc3[nH]cc(Cl)c23)C1
178 C=CC(=O)N1C[C@@H](C)C[C@@H](Nc2ncnc3[nH]ccc23)C1
179 C=CC(=O)Nc1cccc(CNc2c(C(N)=O)cnn3cccc23)c1
180 C=CC(=O)N1C[C@@H](N(C)C)C[C@@H](Nc2ncnc3[nH]ccc23)C1
181 C=CC(=O)N1CCC2CCN(c3ncnc4[nH]ccc34)C2C1
182 C=CC(=O)N[C@H]1C[C@@H](Nc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
183 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(-c4cccnc4)c23)C1
184 C=CC(=O)N1C[C@@H](O)C[C@@H](Nc2ncnc3[nH]ccc23)C1
185 C=CC(=O)N1CC[C@@H](F)[C@@H](Nc2ncnc3[nH]ccc23)C1
186 C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OC)c23)c1
187 C=CC(=O)N1CC[C@H](C)[C@@H](Nc2ncnc3[nH]ccc23)C1
188 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCO)c23)C1
189 C=CC(=O)N1C2CCC(Nc3ncnc4[nH]ccc34)C1CC2
190 C=CC(=O)N1C[C@@H](C#N)C[C@@H](Nc2ncnc3[nH]ccc23)C1
191 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCOC)c23)C1
192 C=CC(=O)N1CC[C@]2(C)CCN(c3ncnc4[nH]ccc34)C2C1
193 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CC(C)(C)O)c23)C1
194 C=CC(=O)N1CCC[C@@H](Nc2ccnc3[nH]cc(C)c23)C1
195 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]cc(C(N)=O)c23)CC[C@@H]1C
196 C=CC(=O)N1C[C@H](O)C[C@@H](Nc2ncnc3[nH]ccc23)C1
197 C=CC(=O)N1CCCC(Nc2ncnc3[nH]ccc23)C1
198 C=CC(=O)Nc1cccc(-c2cnc3c(c2)CC(=O)N3)c1
199 Cc1n[nH]c2ncc(-c3cccc(NC(=O)/C=C/N(C)C)c3)cc12
200 C=CC(=O)Nc1cccc(-c2cnc3[nH]ccc3c2)n1
201 C=CC(=O)Nc1cccc(-c2cnc3[nH]cc(Cl)c3c2)n1
202 C=CC(=O)Nc1cc(-c2cnc3[nH]ccc3c2)ccc1F
203 C=CC(=O)N1CC[C@@H](O)[C@@H](Nc2ncnc3[nH]ccc23)C1
204 C=CC(=O)Nc1ccc2ncn(-c3cncc(NC(C)(C)C)n3)c2c1
205 C=CC(=O)N1CCC(Nc2cnc3[nH]ccc3n2)CC1
206 C=CC(=O)N1CCC[C@@H](Nc2c(C#N)cnc3[nH]ccc23)C1
207 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CCC1(C)C
208 C=CC(=O)NC1CN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
209 C=CC(=O)N1CC(Nc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
210 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(CCC#N)c23)C1
211 C=CC(=O)N1CCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1
212 C=CC(=O)N[C@@H]1CCN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
213 C=CC(=O)N1CC(Nc2ncnc3[nH]ccc23)CCC1CO
214 C=CC(=O)Nc1cccc(CNc2cc(Nc3cnn(C)c3)ncn2)c1
215 C=CC(=O)NC1CCN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
216 C=CC(=O)N[C@H]1CCN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
217 C=CC(=O)N1CCC(Nc2cnc3[nH]cc(-c4ccccc4)c3n2)CC1
218 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)C[C@@H](OC)C1
219 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]cc(Cl)c23)CC[C@@H]1C
220 C=CC(=O)N1CCC[C@@H](Nc2ccnc3[nH]cc(C#N)c23)C1
221 C=CC(=O)N1C[C@H](C)C[C@@H](Nc2ncnc3[nH]ccc23)C1
222 C=CC(=O)N1CCC[C@@H](N(C)c2ncnc3[nH]ccc23)C1
223 C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)C[C@@H](N(C)C)C1
224 C=CC(=O)N1CCC[C@@H](Nc2ccnc3[nH]cc(Cl)c23)C1
225 C=CC(=O)N1CCC[C@](C)(Nc2ncnc3[nH]ccc23)C1
226 C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ncccn4)c23)C1
227 C=CC(=O)N1CCC[C@@H](Nc2ncnc3[nH]cc(Cl)c23)C1
228 C=CC(=O)N1C[C@H](Nc2ccnc3[nH]cc(C#N)c23)CC[C@@H]1C
229 O=C(/C=C/C(F)F)N1CC[C@@H]2CCN(c3ncnc4[nH]ccc34)[C@@H]2C1
230 C=CC(=O)N1C[C@H](C)C[C@@H](Nc2ncnc3[nH]ccc23)C1
231 C=CC(=O)Nc1ccc(CNc2cc(Nc3cnn(C)c3)ncn2)cc1
232 C=CC(=O)N1CCN(c2cnc3[nH]ccc3n2)CC1
233 C=CC(=O)N1[C@H]2CC[C@H](Nc3ncnc4[nH]ccc34)[C@@H]1CC2
234 C=CC(=O)N(C)C1CN(c2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
235 C=CC(=O)Nc1cccc(-c2ncnc3[nH]ccc23)c1
236 O=C1Nc2cnc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1
237 C=CC(=O)N1CC(Nc2ncnc3[nH]ccc23)CCC1(C)C
238 C=CC(=O)N1CCC(Nc2cnc3[nH]ccc3n2)C1
239 C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(CCOC)c23)c1
240 C=CC(=O)Nc1cccc(-c2ncnc3[nH]ccc23)c1
241 C=CC(=O)N1CC[C@H](F)[C@@H](Nc2ncnc3[nH]ccc23)C1
242 C=CC(=O)N1CC[C@H](Nc2cnc3[nH]cc(C(=O)NC(C)C)c3n2)C1
