	SMILES	Name
0	CC(C)(C)[NH2+]C[C@@H](O)COc1cc(Cl)ccc1C1=CC(=O)CC1	ZINC00000255
1	CCOC(=O)C1=C(C)NC(=O)N[C@H]1c1cc(OC)ccc1O	ZINC00034681
2	COc1ccccc1[C@H]1NC(=O)NC(C)=C1C(=O)OC1CCCCC1	ZINC00061930
3	CCCC(=O)Oc1ccc([C@@H]2C(C#N)=C(N)OC3=C2C(=O)CCC3)cc1	ZINC00783653
4	O=C(/C=C/c1nc2ccccc2s1)NC[C@H]1CCCC[C@@H]1O	ZINC72293739
5	O=C(/C=C/c1nc2ccccc2s1)NC[C@@H]1CCCC[C@H]1O	ZINC72293740
6	O=C(/C=C/c1nc2ccccc2s1)NC[C@H]1CCCC[C@H]1O	ZINC72293741
7	N#Cc1cccc(/C=C/C(=O)c2c(F)cccc2N2CCOCC2)c1	ZINC72295138
8	COC(=O)N1CC[C@H](NC(=O)/C=C/c2ccsc2)C1	ZINC72297582
9	COC(=O)N1CC[C@@H](NC(=O)/C=C/c2ccsc2)C1	ZINC72297583
10	O=C(/C=C/c1cccc(F)c1)Nc1ccnn1[C@@H]1CCS(=O)(=O)C1	ZINC72303421
11	O=C(/C=C/c1cccc(F)c1)Nc1ccnn1[C@H]1CCS(=O)(=O)C1	ZINC72303422
12	CSc1ccc([C@H]2NC(=O)NC(C)=C2C(=O)OC(C)C)cc1	ZINC00793329
13	CCC1(O)CCN(C(=O)CNC(=O)/C=C/c2ccccc2)CC1	ZINC72304328
14	COC[C@H](C)n1c(C)cc(/C=C(/C#N)C(=O)NCc2cn[nH]n2)c1C	ZINC72311717
15	COC[C@@H](C)n1c(C)cc(/C=C(/C#N)C(=O)NCc2cn[nH]n2)c1C	ZINC72311718
16	COc1cccc(/C=C/c2ncc(/C=C/C(=O)[O-])s2)c1OC(F)F	ZINC72312329
17	COc1ccc([C@@H]2CC(=O)NC3=C2C(=O)OC3(C)C)cc1OC(C)C	ZINC72326054
18	COc1ccc([C@H]2CC(=O)NC3=C2C(=O)OC3(C)C)cc1OC(C)C	ZINC72326056
19	CCOC(=O)C1=C(C)N(CC)c2ncnn2[C@@H]1c1ccc(Cl)cc1	ZINC72332404
20	CCOC(=O)C1=C(C)N(CC)c2ncnn2[C@H]1c1ccc(Cl)cc1	ZINC72332405
21	C=C(C)C(=O)N1CCC(C(=O)c2cc(C)cnc2N)CC1	ZINC72398530
22	N#CCCN1C(=O)S/C(=C\c2ccc(O)cc2)C1=O	ZINC72414055
23	CSc1ccc([C@@H]2NC(=O)NC(C)=C2C(=O)OC(C)C)cc1	ZINC00793330
24	N#CCCN1C(=O)S/C(=C\c2ccccc2O)C1=O	ZINC72414690
25	N#CCCN1C(=O)S/C(=C\c2cccc(O)c2)C1=O	ZINC72414729
26	Cc1c(C(=O)/C=C/N(C)C)cnn1-c1nc2ccccc2[nH]1	ZINC72415601
27	Cc1cc(C)nc(-n2nc(C)c(C(=O)/C=C/N(C)C)c2C)n1	ZINC72415709
28	COC(=O)[C@H]1C(=O)C=C(Cl)C[C@H]1c1ccco1	ZINC72416000
29	COC(=O)[C@@H]1C(=O)C=C(Cl)C[C@H]1c1ccco1	ZINC72416001
30	COC(=O)[C@H]1C(=O)C=C(Cl)C[C@@H]1c1ccco1	ZINC72416002
31	COC(=O)[C@@H]1C(=O)C=C(Cl)C[C@@H]1c1ccco1	ZINC72416003
32	CCOC(=O)C1=C(C)N/C(=N\C#N)[N-][C@@H]1c1ccc(OC)cc1	ZINC72448792
33	CCOC(=O)C1=C(C)N/C(=N\C#N)[N-][C@H]1c1ccc(OC)cc1	ZINC72448793
34	N#C/C(=C\c1ccc(C(F)(F)F)cc1)C(=O)NC[C@H]1CCCO1	ZINC00802019
35	Cc1cnn(C2(C(=O)[O-])CCN(C(=O)/C=C/c3ccccc3)CC2)c1	ZINC72454226
36	COc1ccc(/C=C/C(=O)N2CCn3c2nc2ccccc23)cc1	ZINC72465446
37	CC1=C(C(=O)Nc2ccccc2C)Cn2nc(C)nc2N1	ZINC72466239
38	COc1ccccc1NC(=O)C1=C(C)Nc2nc(C)nn2C1	ZINC72466242
39	CSc1nc2n(n1)CC(C(=O)Nc1ccccc1)=C(C)N2	ZINC72466269
40	COc1ccc(NC(=O)C2=C(C)Nc3nc(C)nn3C2)cc1	ZINC72466287
41	CC1=C(C(=O)N2CCOCC2)Cn2nc(-c3ccccc3)nc2N1	ZINC72466317
42	CC(=O)c1ccc(NC2=C(C#N)C(=O)CC(C)(C)C2)cc1	ZINC72467627
43	CC1(C)CC(=O)C(C#N)=C(Nc2ccc3c(c2)OCO3)C1	ZINC72467637
44	CCOC(=O)C1=C(C)N/C(=N\C#N)[N-][C@@H]1c1ccc(OCC)cc1	ZINC72467753
45	N#C/C(=C\c1ccc(C(F)(F)F)cc1)C(=O)NC[C@@H]1CCCO1	ZINC00802022
46	CCOC(=O)C1=C(C)N/C(=N\C#N)[N-][C@H]1c1ccc(OCC)cc1	ZINC72467754
47	COC(=O)C1=C(C)N/C(=N\C#N)[N-][C@H]1c1ccc(OC)cc1	ZINC72467767
48	COC(=O)C1=C(C)N/C(=N\C#N)[N-][C@@H]1c1ccc(OC)cc1	ZINC72467769
49	CC(=O)C1=C(C)Nc2ncnn2[C@H]1c1ccc2c(c1)OCCO2	ZINC72471881
50	CC(=O)C1=C(C)Nc2ncnn2[C@@H]1c1ccc2c(c1)OCCO2	ZINC72471882
51	O=C(/C=C/c1cnc2ccccc2n1)Oc1ccccc1F	ZINC72494451
52	O=C(/C=C/c1cnc2ccccc2n1)Oc1cccc(F)c1	ZINC72495484
53	COC(=O)c1ccc(/C=C/C(=O)OCc2nc3ccccc3[nH]2)cc1	ZINC72496238
54	CC1=C(C(=O)OCc2ccccc2)[C@@H](c2ccoc2)C(C#N)=C(N)O1	ZINC00809310
55	O=C(/C=C/c1cccc(C(F)(F)F)c1)NCC(F)(F)F	ZINC72499042
56	CC[NH+]1CCC[C@@H]1CNC(=O)/C=C/c1c(Cl)nc2sccn12	ZINC72500959
57	CC[NH+]1CCC[C@H]1CNC(=O)/C=C/c1c(Cl)nc2sccn12	ZINC72500962
58	O=C(/C=C/c1cnc2ccccc2n1)NCc1ccncc1	ZINC72508005
59	O=C(/C=C/c1nc2ccccc2s1)NCCCN1CCOCC1	ZINC72509440
60	COc1ccc(/C=C/C(=O)N[C@H](C)C(=O)NNc2cccc(C)c2)cc1	ZINC72514115
61	COc1ccc(/C=C/C(=O)N[C@@H](C)C(=O)NNc2cccc(C)c2)cc1	ZINC72514117
62	Cc1nnnn1/C(=C\c1ccccc1)C(=O)Nc1ccc(F)cc1F	ZINC72516996
63	N#CCCn1cc(/C=C/C(=O)OCCN2CCCC2=O)c2ccccc21	ZINC72519292
64	CC[C@@H]1CCCCN1C(=O)/C=C\c1cnc2ccccc2n1	ZINC72524642
65	CC1=C(C(=O)OCc2ccccc2)[C@H](c2ccoc2)C(C#N)=C(N)O1	ZINC00809311
66	CC[C@H]1CCCCN1C(=O)C=Cc1cnc2ccccc2n1	ZINC72524645
67	O=C1CN(C(=O)/C=C/c2ccc3ccccc3n2)CCN1	ZINC72524867
68	O=C(/C=C/c1ccc(Cl)cc1)N1CCN(C(=O)[C@@H]2CCCO2)CC1	ZINC72525500
69	O=C(/C=C/c1ccc(Cl)cc1)N1CCN(C(=O)[C@H]2CCCO2)CC1	ZINC72525502
70	O=C(Nc1ccnn1[C@@H]1CCS(=O)(=O)C1)C1=C(Cl)CCCC1	ZINC72534993
71	O=C(Nc1ccnn1[C@H]1CCS(=O)(=O)C1)C1=C(Cl)CCCC1	ZINC72534994
72	Cc1ccc(C(=O)/C=C/c2cc(C#N)n(C)c2C)s1	ZINC72601923
73	CC[C@@H](C)[C@H](NC(=O)/C=C/c1cc(Cl)c2c(c1)OCO2)C(N)=O	ZINC72628617
74	CC[C@H](C)[C@H](NC(=O)/C=C/c1cc(Cl)c2c(c1)OCO2)C(N)=O	ZINC72628618
75	CCOc1cc([C@@H]2NC(=O)NC(C)=C2C(=O)OC)ccc1OC(C)=O	ZINC00809704
76	CC[C@@H](C)[C@@H](NC(=O)/C=C/c1cc(Cl)c2c(c1)OCO2)C(N)=O	ZINC72628619
77	CC[C@H](C)[C@@H](NC(=O)/C=C/c1cc(Cl)c2c(c1)OCO2)C(N)=O	ZINC72628620
78	CC(C)n1nccc1NC(=O)/C=C/c1cc(Cl)c2c(c1)OCO2	ZINC72628647
79	C#CCOC(=O)C1CCN(C(=O)/C=C\c2ccccc2)CC1	ZINC72635774
80	N#C[C@@H](C(=O)/C=C/c1cccc(F)c1)c1nnc2n1CCCCC2	ZINC72678693
81	COc1ccccc1/C=C/C(=O)[C@@H](C#N)c1nnc2n1CCCCC2	ZINC72678698
82	CCOc1cc2c(cc1/C=C/C(=O)Nc1nonc1C)O[C@@H](C)C2	ZINC72679796
83	COc1cccc([C@@H]2CC(=O)C(/C=N/c3cccc(C)c3)=C([O-])C2)c1	ZINC72680337
84	COc1cccc([C@@H]2CC(=O)C(/C=N/c3ccccc3C)=C([O-])C2)c1	ZINC72680338
85	COc1cccc([C@H]2CC(=O)C(/C=N/C[C@@H]3CCCO3)=C([O-])C2)c1	ZINC72680349
86	CCOc1cc([C@H]2NC(=O)NC(C)=C2C(=O)OC)ccc1OC(C)=O	ZINC00809705
87	COc1cccc([C@H]2CC(=O)C(/C=N/C[C@H]3CCCO3)=C([O-])C2)c1	ZINC72680350
88	COc1cccc([C@@H]2CC(=O)C(/C=N/c3ccc(C)cc3O)=C([O-])C2)c1	ZINC72680413
89	C[C@@H](NC(=O)/C=C/c1ccc2c(c1)OCO2)c1nc2ccccc2[nH]1	ZINC72699714
90	CN(C(=O)C1=CC=CN2CCS(=O)(=O)N=C12)c1ccccc1	ZINC72702525
91	O=C(NCCc1cccs1)C1=CC=CN2CCS(=O)(=O)N=C12	ZINC72704690
92	CC(C)c1cccc(NC(=O)C2=CC=CN3CCS(=O)(=O)N=C23)c1	ZINC72705361
93	Cc1ccc(/C=C/C(=O)N(C2CC2)[C@@H]2CCS(=O)(=O)C2)cc1	ZINC72751562
