SMILES Name
0 CCN(C#N)NC(=O)O[C@@H](C)CC1CCCCC1
1 CCCN(C#N)NC(=O)O[C@@H](C)CC1CCCCC1
2 CC(C)CN(C#N)NC(=O)O[C@@H](C)CC1CCCCC1
3 CC(C)C[C@H](NC(=O)NCc1ccccc1)C(=O)N(C)N(C)C#N
4 CC(C)C[C@H](NC(=O)Nc1ccccc1)C(=O)N(C)N(C)C#N
5 CC(C)N(C#N)NC(=O)O[C@@H](C)CC1CCCCC1
6 CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
7 CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
8 CC(C)(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N
9 N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
10 CN(C#N)N(C)C(=O)CNC(=O)OCc1ccccc1
11 N#CCNC(=O)C1(NC(=O)CCc2ccccc2)CCCCC1
12 CSCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N
13 CCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N
14 CC(C)(C)OC(=O)N[C@@H](Cc1cccs1)C(=O)NCC#N
15 CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N
16 N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1
17 CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N
18 N#CCNC(=O)C1(NC(=O)OCc2ccccc2)CCCC1
19 CC(C)C[C@](C)(NC(=O)OCc1ccccc1)C(=O)NCC#N
20 CC(C)(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N
21 CC(C)(C)OC(=O)N[C@@H](Cc1ccsc1)C(=O)NCC#N
22 C[C@@H](CC1CCCCC1)OC(=O)[C@H](C)N(C)C#N
23 CC(C)(C)OC(=O)N[C@@H](CC1CC1)C(=O)NCC#N
24 CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1F)C(=O)NCC#N
25 CC(C)(C)OC(=O)N[C@@H](Cc1ccco1)C(=O)NCC#N
26 CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC#N
27 CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)NCC#N
28 CC[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N
29 CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C#N)CC#N
30 CC(C)(C)OC(=O)N[C@@H](Cc1cccc(F)c1)C(=O)NCC#N
31 CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N
32 CC(C)(C)OC(=O)N[C@@H](CCc1ccccc1)C(=O)NCC#N
33 CC(O)[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N
34 C[C@@H](CC1CCCCC1)OC(=O)[C@@H](C)N(C)C#N
35 CC(C)(C)OC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)NCC#N
36 CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(=O)NCC#N
37 N#CCNC(=O)[C@@H](NC(=O)OCc1ccccc1)c1ccccc1
38 CC[C@H](N)C(=O)N[C@H](C#N)Cc1ccc(-c2ccccc2)cc1
39 CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC#N
40 CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC#N
41 CC(C)(C)OC(=O)N[C@H](C(=O)NCC#N)c1ccccc1
42 CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)NCC#N
43 CC(C)(C)OC(=O)N[C@@H](COCc1ccccc1)C(=O)NCC#N
44 N#CCNC(=O)CNS(=O)(=O)c1ccc2ccccc2c1
45 CN(CC#N)C(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
46 CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)NCC#N
47 CC(C)(C)OC(=O)NN(Cc1ccccc1)C(=O)NCC#N
48 N#CCNC(=O)C1(NC(=O)OCc2ccccc2)CC1
49 N#Cc1ncc(C(=O)NCCc2ccccc2)c(NC2CCCCC2)n1
50 C[C@@H](CC1CCCCC1)OC(=O)C1CCN1C#N
51 CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
52 N#Cc1nc(NC2CCCCC2)nc(N2CCNCC2)n1
53 CC(C)C(NC(=O)OCc1ccccc1)C(=O)N1CCCCN1C#N
54 C[C@@H](CC1CCCCC1)OC(=O)C1CCCN1C#N
55 N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCc2ccccc2C1
56 N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1
57 CC(C)(C)Cn1c(COc2ccncc2)cc2cnc(C#N)nc21
58 CC(C)C(Nc1cccc(C#N)c1)C(=O)N1CCCCN1C#N
59 CC(C)(C)Cn1c(Cn2ccnn2)cc2cnc(C#N)nc21
60 CC(C)(C)Cn1c(Cn2ccnc2)cc2cnc(C#N)nc21
61 Cc1cccc(NC(C(=O)N2CCCCN2C#N)C(C)C)c1
62 CC(C)CNc1nc(C#N)nc(N2CCNCC2)c1N
63 CNCCCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1
64 CC(C)C[C@H](N[C@@H](c1ccccc1)C(F)(F)F)C(=O)NCC#N
65 N#CN1CC[C@@H](NS(=O)(=O)c2cccc(Br)c2)C1
66 N#Cc1nc(CCCO)cc(-c2cccc(C(F)(F)F)c2)n1
67 CC(C)(C)CNc1nc(C#N)ncc1C#CCOc1cccnc1
68 CC[C@@H](CC1CCCCC1)OC(=O)NC1CCN(C#N)C1
69 CC(=O)N1CCN(c2nc(C#N)nc(NCC(C)C)c2N)CC1
70 N#Cc1ncc(C(=O)NCCc2ccccc2)c(NC2CCCCC2)n1
71 CC(C)(C)CNc1nc(C#N)ncc1C#CCN1Cc2ccccc2C1
72 CC(C)C(Nc1cccc(Cl)c1)C(=O)N1CCCCN1C#N
73 C[C@@H](CC1CCCCC1)OC(=O)N[C@H]1CCN(C#N)C1
74 N#Cc1nc(NC2CCCC2)c(N)c(N2CCOCC2)n1
75 CC(C)CNc1nc(C#N)nc(NC2CCS(=O)(=O)C2)c1N
76 N#CN1CC(CNS(=O)(=O)c2ccccc2)C1
77 CC(C)(C)CNc1nc(C#N)nc(N2CCOCC2)c1N
78 C[C@@H](CC1CCCCC1)OC(=O)C1CCCN1C#N
79 CN(C)c1ccc(C(=O)NC2(C(=O)NCC#N)CCCCC2)cc1
80 COc1ccc(Nc2nc(C#N)nc(N3CCNCC3)n2)cc1
81 N#CN1CCC(NS(=O)(=O)c2ccccc2)C1
82 CC(C)CNc1nc(C#N)nc(N2CCOCC2)c1N
83 CC(C)CNc1nc(C#N)nc(N2CCOCC2)c1N
84 N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CC=CCC1
85 N#CN1CC(CNS(=O)(=O)c2ccccc2)C1
86 N#Cc1nc(Nc2ccc(F)cc2)nc(NC2CCNCC2)n1
87 N#CCNC(=O)[C@@H]1CCCC[C@H]1CSc1ccc(O)cc1
88 N#Cc1nc(N2CCCCC2)c(N)c(N2CCOCC2)n1
89 N#Cc1nc(NC2CCCCC2)c(N)c(N2CCOCC2)n1
90 COc1ccc(Nc2nc(C#N)nc(NC3CCCCC3)n2)cc1
91 Cc1cccc(CNc2nc(C#N)nc(N3CCNCC3)n2)c1
92 COCCNc1nc(C#N)nc(NCC(C)C)c1N
93 CC(C)C(Nc1ccc(Cl)cc1)C(=O)N1CCCCN1C#N
94 CC(C)C(Nc1ccccc1)C(=O)N1CCCCN1C#N
95 COc1ccc(SC[C@@H]2CCCC[C@H]2C(=O)NCC#N)cc1
96 N#Cc1ccc(Nc2nc(C#N)nc(N3CCNCC3)n2)cc1
97 N#Cc1nc(Nc2ccc(C(F)(F)F)cc2)nc(N2CCNCC2)n1
98 N#CCNC(=O)[C@@H]1CCCC[C@H]1CSc1ccc(F)cc1
99 N#Cc1nc(Nc2ccc(F)cc2)nc(N2CCOCC2)n1
100 N#CN1CC[C@H](NS(=O)(=O)c2ccccc2)C1
101 CC(C)CNc1nc(C#N)nc(N2CC(O)C2)c1N
102 CN1CCN(C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N)CC1
103 CCCn1c(=O)c(C#N)nn(C2CCCCCC2)c1=O
104 CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N
105 CC(C)C[C@H](Nc1cscc1Br)C(=O)NCC#N
106 N#CN1CCC(NS(=O)(=O)c2ccccc2)C1
107 N#Cc1nccc(-c2ccc(OCCCO)c(C(F)(F)F)c2)n1
108 N#Cc1nc(Nc2cccc(F)c2)nc(N2CCOCC2)n1
109 CC(C)C[C@H](NC(=O)c1ccccc1)C(=O)NCC#N
110 CC(C)CC(Nc1ccccc1Br)C(=O)NCC#N
111 CC(C)C(NC(=O)OC(C)(C)C)C(=O)N1CCCCN1C#N
112 N#Cc1nc(N2CCCC2)c(N)c(N2CCOCC2)n1
