	SMILES	Name
0	COc1ccc(C(=C(C#N)CCC(=O)[O-])c2ccc(OC)cc2)cc1	ZINC00002066
1	COc1ccccc1-c1cc(CC(C)C)nc(C#N)c1N	ZINC00033554
2	COc1ccc([C@H]2CC(=O)NC(SC)=C2C#N)cc1OC	ZINC00083360
3	CCOC(=O)[C@H](C)Sc1c(C#N)c(C(F)(F)F)nn1C	ZINC03116842
4	CCN(Cc1ccccc1C#N)Cn1nc(C)sc1=S	ZINC49281567
5	CCC(C)(C)NC(=O)C[NH2+][C@@H](C)c1ccc(C#N)cc1	ZINC49281768
6	CCC(C)(C)NC(=O)C[NH2+][C@H](C)c1ccc(C#N)cc1	ZINC49281770
7	C#CCOc1ccc(/C=C(/C#N)C(=O)C(C)C)cc1	ZINC49282043
8	C=C(Br)CNC(=O)NCCNc1cccc(F)c1C#N	ZINC49285553
9	C=C(Br)CNC(=O)N(CC)Cc1ccc(C#N)cc1F	ZINC49286415
10	CCOc1ccc2cc(/C([O-])=C(\C#N)C(=O)c3ccsc3)[nH]c2c1	ZINC49289801
11	C=C(Br)CNC(=O)CNc1ccc(C#N)cc1	ZINC49296784
12	CCOc1cc(/C=N/NC(=O)COc2ccccc2C#N)ccc1O	ZINC03118245
13	CCCNC(=O)NNC(=O)COc1cccc(C#N)c1	ZINC49298324
14	CCCNC(=O)NNC(=O)/C=C/c1ccccc1C#N	ZINC49298393
15	CCCNC(=O)NNC(=O)/C=C/c1ccc(C#N)cc1	ZINC49298465
16	CC1CC[NH+](CCCNC(=O)C(=O)Nc2cccc(C#N)c2)CC1	ZINC49298727
17	C=C(Br)CNC(=O)C(=O)Nc1ccc(OCC#N)cc1	ZINC49301885
18	C=C(Br)CNC(=O)C(=O)Nc1cccc(OCC#N)c1	ZINC49301887
19	N#Cc1ncn(CCCOc2ccc3c(c2)OCO3)n1	ZINC49302512
20	CSc1ccc(Cl)cc1NC(=O)CSCC#N	ZINC49305794
21	CCOC(=O)/C(C#N)=C\NCc1ccc(Br)cc1Cl	ZINC49306381
22	N#Cc1ccc(NC(=O)C(=O)NCCCOCC2CC2)cc1Cl	ZINC49310560
23	N#Cc1ccccc1OCC(=O)N/N=C/c1cccc2ccccc12	ZINC03118500
