SMILES Name
0 CC(C)C[C@H](NC(=O)Nc1ccccc1)C(=O)N(C)N(C)C#N
1 CN(Cc1ccccc1)C(=O)CN(C#N)NC(=O)OC(C)(C)C
2 CC(C)C[C@H](NC(=O)NCc1ccccc1)C(=O)N(C)N(C)C#N
3 CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
4 CC(C)(C)OC(=O)NN(C#N)CC(=O)N1CCOCC1
5 CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
6 CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N(C)N(C)C#N
7 CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N
8 CC(C)(C)OC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)NCC#N
9 CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC#N
10 CC(C)(C)OC(=O)N[C@@H](CC1CC1)C(=O)NCC#N
11 CSCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N
12 CC(C)(C)OC(=O)N[C@@H](Cc1ccsc1)C(=O)NCC#N
13 CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1F)C(=O)NCC#N
14 CN(C(=O)OC(C)(C)C)N(C#N)CC(=O)N1CCOCC1
15 CN(C#N)N(C)C(=O)CNC(=O)OCc1ccccc1
16 CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C#N)CC#N
17 CC(C)(C)OC(=O)N[C@@H](Cc1cccc(F)c1)C(=O)NCC#N
18 CCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC#N
19 CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC#N
20 CC(C)(C)OC(=O)N[C@H](C(=O)NCC#N)c1ccccc1
21 CC(C)(C)OC(=O)N[C@@H](CCc1ccccc1)C(=O)NCC#N
22 CC(C)(C)OC(=O)N[C@@H](COCc1ccccc1)C(=O)NCC#N
