	SMILES	Name
0	Cc1c(C#N)c2ccccc2n1CC(=O)NCc1ccc2c(c1)OCO2	ZINC00029033
1	CC1(C)OC(=O)C([C@H](c2ccccc2)[C@H](C#N)C(N)=O)=C(O)O1	ZINC00034889
2	CCOC(=O)C1=C(C)OC(N)=C(C#N)[C@H]1c1cc(OC)cc(OC)c1	ZINC00103140
3	COc1ccccc1[C@@H](C)[NH2+]CC(=O)Nc1ccc(C#N)c(Cl)c1	ZINC03533754
4	CCc1noc([C@H](C)N2CCN(c3ncccc3C#N)CC2)n1	ZINC65609747
5	Cn1c(/C([O-])=C(/C#N)C(=O)c2cccc(Cl)c2)cc2ccccc21	ZINC65609995
6	CCCCNC(=O)[C@@H]1CC[C@H](C)N(C(=O)Nc2cccc(C#N)c2)C1	ZINC65610666
7	CCCCNC(=O)[C@H]1CC[C@H](C)N(C(=O)Nc2cccc(C#N)c2)C1	ZINC65610668
8	CCCCNC(=O)[C@@H]1CC[C@@H](C)N(C(=O)Nc2cccc(C#N)c2)C1	ZINC65610671
9	CCCCNC(=O)[C@H]1CC[C@@H](C)N(C(=O)Nc2cccc(C#N)c2)C1	ZINC65610672
10	N#CC1(NC(=O)Cc2cccc(Br)c2)CCC1	ZINC65611654
11	Cc1nn(C)c2ncc(S(=O)(=O)N(CCC#N)CC3CCC3)cc12	ZINC65612119
12	N#Cc1cccc(CNS(=O)(=O)Cc2ccccc2Cl)c1	ZINC65612749
13	CSc1nc([O-])c(C(=O)NCCc2ccc(C)cc2C)cc1C#N	ZINC65620702
14	CC(C)[C@@](C)(C#N)NC(=O)COC(=O)c1ccccc1C(F)(F)F	ZINC03535160
15	CC(C)C(=O)NC[C@@H]1CCCN(C(=O)NCc2cccc(C#N)c2)C1	ZINC65621006
16	CC(C)C(=O)NC[C@H]1CCCN(C(=O)NCc2cccc(C#N)c2)C1	ZINC65621009
17	Cc1ccccc1C1(CNC(=O)C(=O)Nc2ccc(CC#N)cc2)CC1	ZINC65621028
18	COC(=O)C1=C(C)NC(=S)N[C@H]1c1cccc(OCCCC#N)c1	ZINC65621512
19	COC(=O)C1=C(C)NC(=S)N[C@@H]1c1cccc(OCCCC#N)c1	ZINC65621516
20	N#Cc1ccc(SCC(=O)NC[C@@H]2COc3ccccc3C2)cc1	ZINC65624213
21	N#Cc1ccc(SCC(=O)NC[C@H]2COc3ccccc3C2)cc1	ZINC65624216
22	C[C@H](Oc1ccccc1C#N)C(=O)N(C)Cc1nnc2ccccn12	ZINC65624836
23	C[C@@H](Oc1ccccc1C#N)C(=O)N(C)Cc1nnc2ccccn12	ZINC65624839
24	CC(C)[C@](C)(C#N)NC(=O)COC(=O)c1ccccc1C(F)(F)F	ZINC03535161
25	C[C@@H](CC#N)N1CCN(C(=O)c2ccc(F)cc2F)CC1	ZINC65625979
26	C[C@H](CC#N)N1CCN(C(=O)c2ccc(F)cc2F)CC1	ZINC65625982
27	N#Cc1cc(NC(=O)c2ccc(-c3ccccc3)[nH]c2=O)ccc1F	ZINC65626123
28	CCN(CCC#N)S(=O)(=O)c1ccc(F)cc1C(F)(F)F	ZINC65626843
29	COc1ccc(C(=O)N(CCC#N)c2ccc3c(c2)OCCO3)cc1	ZINC65627073
30	N#C[C@H](C(=O)[C@@H]1C[C@H]1c1ccco1)c1nc([O-])c2ccc(Cl)cc2n1	ZINC65647967
31	Cc1nc(C(=O)[C@H](C#N)c2nc([O-])c3ccc(Cl)cc3n2)cs1	ZINC65647977
32	C/C(=C/C([O-])=C(\C#N)C(=O)N1CCCC1)c1ccc(F)cc1	ZINC65649434
33	N#C[C@H](COC(=O)c1cccc2c1OCCO2)Cc1ccc(F)cc1	ZINC65655743
34	COc1ccc(C)cc1-n1nnnc1SCc1ccccc1C#N	ZINC03536705
35	CSc1nc([O-])c(C(=O)N(C)CCc2ccc(F)cc2)cc1C#N	ZINC65668004
36	CC(=O)N[C@H](C)C(=O)Nc1ccc(Oc2ccccc2C#N)cc1	ZINC65680162
37	N#C/C(=C\c1ccco1)C(=O)Nc1ccc(-n2ccnc2)c(F)c1	ZINC65729519
38	N#Cc1ccc(NC(=O)C(=O)Nc2cccc(F)c2)cc1Cl	ZINC65834213
39	COc1ccc(C)cc1NC(=O)C(=O)Nc1ccc(C#N)c(Cl)c1	ZINC65834573
40	CCN(C(=O)c1ccnc(-n2ccnc2)c1)[C@@H](C)c1ccc(C#N)cc1	ZINC65839771
41	N#Cc1ccc(NC(=O)C(=O)N2CCN(CC3CC3)CC2)cc1Cl	ZINC65873319
42	COc1ccc(NC(=O)C(=O)Nc2ccc(C#N)c(Cl)c2)cc1C	ZINC65875651
43	N#Cc1ccsc1NC(=O)C[NH+](C1CC1)[C@@H]1CCc2ccccc21	ZINC65951609
44	N#Cc1ccccc1NC(=O)C[NH+]1CCC(Cc2ccccc2)CC1	ZINC03537952
45	C#CCOc1ccc(/C=C(/C#N)C(=O)Nc2ccc(F)cc2)cc1	ZINC65999197
46	C#CCOc1ccc(/C=C(/C#N)C(=O)NCCc2ccccc2)cc1	ZINC65999242
47	CCc1ccc(/C([O-])=C(\C#N)C(=O)c2c(C)[nH]c3ccccc23)o1	ZINC66004551
48	Cc1[nH]c2ccccc2c1/C([O-])=C(/C#N)C(=O)COC1CCCCC1	ZINC66004561
49	Cc1[nH]c2ccccc2c1/C([O-])=C(/C#N)C(=O)CCOCC(F)(F)F	ZINC66004562
50	COc1cc(C#N)ccc1OCC(=O)Nc1cc[nH]n1	ZINC66052213
51	CCc1nnc(NC(=O)COc2ccc(C#N)cc2OC)s1	ZINC66059497
52	N#C/C(=C\c1cc(CSc2nnc(N)s2)cs1)C(N)=O	ZINC66089505
53	N#Cc1ccsc1NC(=O)C[NH+]1CCC(Cc2ccccc2)CC1	ZINC03537961
54	CCOc1ccc(C#N)cc1NC(=O)N1CC[C@H]([NH+]2CCCC2)C1	ZINC66161028
55	CCOc1ccc(C#N)cc1NC(=O)N1CC[C@@H]([NH+]2CCCC2)C1	ZINC66161029
56	CC(C)N(Cc1ccc(C#N)cc1)C(=O)NCCC(=O)N1CCCC1	ZINC66175337
57	COc1cc(Cl)c(/C=N/n2c(C)cc(C)c(C#N)c2=O)cc1OC	ZINC66202179
58	Cn1c(SC[C@H](O)COc2ccc(C#N)cc2)nnc1C1CC1	ZINC66238043
59	COc1ccc(C)cc1NC(=O)c1ccc(-n2ncc(C#N)c2N)cc1	ZINC66239596
60	COc1ccccc1CNC(=O)c1ccc(-n2ncc(C#N)c2N)cc1	ZINC66239657
61	N#Cc1cnn(-c2ccc(C(=O)Nc3ccc4c(c3)CCC4)cc2)c1N	ZINC66239669
62	COc1cccc(CNC(=O)c2ccc(-n3ncc(C#N)c3N)cc2)c1	ZINC66239671
63	N#Cc1cnn(-c2ccc(C(=O)NCCC3=CCCCC3)cc2)c1N	ZINC66239833
64	N#Cc1ccsc1NC(=O)C[NH+]1CCCCCCC1	ZINC03538910
65	N#Cc1cccc(S(=O)(=O)Nc2ccnn2C2CCCC2)c1	ZINC66241907
66	Cc1cc([N-]S(=O)(=O)C2=Cc3ccccc3CC2)n(CCC#N)n1	ZINC66247999
67	N#Cc1ccc(S(=O)(=O)Nc2ccnn2C2CCCC2)cc1	ZINC66248803
68	Cc1ccc(-n2c(C)cc(/C=C(/C#N)C(=O)OCC(N)=O)c2C)cc1	ZINC66276492
69	N#CC1(C(=O)NCCCS(=O)(=O)c2ccccc2)CCCC1	ZINC66282992
70	Cc1ccccc1-n1c(C)cc(/C=C(/C#N)C(=O)OCC(N)=O)c1C	ZINC66316719
71	CN(C(=O)COc1ccc(C(N)=O)cc1)C1(C#N)CCC1	ZINC66321350
72	Cc1ccc(-c2noc(CCC(=O)N(C)C3(C#N)CCC3)n2)cc1F	ZINC66321472
73	Cc1cc(-c2noc(CCC(=O)N(C)C3(C#N)CCC3)n2)ccc1F	ZINC66321473
74	CN(C(=O)CCS(=O)(=O)c1ccc2c(c1)CCC2)C1(C#N)CCC1	ZINC66321933
75	C[NH+](CC(=O)Nc1sccc1C#N)Cc1c(F)cccc1Cl	ZINC03541116
76	CN(C(=O)CCCc1nc(-c2cccs2)no1)C1(C#N)CCC1	ZINC66321943
77	CN(C(=O)[C@@H]1CC(=O)N(Cc2ccccn2)C1)C1(C#N)CCC1	ZINC66321994
78	CN(C(=O)[C@H]1CC(=O)N(Cc2ccccn2)C1)C1(C#N)CCC1	ZINC66321996
